timestamp,log_level,service_name,trace_id,message
"2021-07-04 16:50:05,642",WARNING,redisservice2,t3,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:06,236",ERROR,webservice1,t3,an error occurred in the downstream service
"2021-07-04 16:50:15,964",WARNING,redisservice1,t17,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:16,516",ERROR,webservice2,t17,an error occurred in the downstream service
"2021-07-04 16:50:16,488",ERROR,dbservice1,t17,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 16:50:20,654",WARNING,redisservice2,t23,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:21,239",ERROR,dbservice2,t23,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 16:50:21,265",ERROR,webservice2,t23,an error occurred in the downstream service
"2021-07-04 16:50:28,080",WARNING,redisservice1,t34,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:28,687",ERROR,webservice1,t34,an error occurred in the downstream service
"2021-07-04 16:50:29,726",ERROR,webservice2,t36,an error occurred in the downstream service
"2021-07-04 16:50:29,707",ERROR,dbservice1,t36,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 16:50:29,075",WARNING,redisservice2,t36,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:33,668",WARNING,redisservice1,t42,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:34,232",ERROR,dbservice2,t42,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 16:50:34,256",ERROR,webservice2,t42,an error occurred in the downstream service
"2021-07-04 16:50:41,079",WARNING,redisservice1,t52,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:41,631",ERROR,dbservice1,t52,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 16:50:41,660",ERROR,webservice1,t52,an error occurred in the downstream service
"2021-07-04 16:50:49,837",WARNING,redisservice1,t64,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:49,832",WARNING,redisservice1,t65,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:50:50,433",ERROR,dbservice1,t64,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 16:50:50,471",ERROR,webservice1,t64,an error occurred in the downstream service
"2021-07-04 16:50:50,423",ERROR,webservice2,t65,an error occurred in the downstream service
"2021-07-04 16:50:50,403",ERROR,dbservice2,t65,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 16:51:14,521",WARNING,redisservice1,t99,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:51:15,142",ERROR,webservice2,t99,an error occurred in the downstream service
"2021-07-04 16:51:15,118",ERROR,dbservice2,t99,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 16:51:34,431",WARNING,redisservice2,t126,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:51:34,959",ERROR,webservice1,t126,an error occurred in the downstream service
"2021-07-04 16:51:42,588",WARNING,redisservice1,t138,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:51:43,136",ERROR,webservice1,t138,an error occurred in the downstream service
"2021-07-04 16:52:00,923",ERROR,dbservice2,t163,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 16:52:00,400",WARNING,redisservice1,t163,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:52:00,978",ERROR,webservice1,t163,an error occurred in the downstream service
"2021-07-04 16:52:02,698",ERROR,webservice2,t166,an error occurred in the downstream service
"2021-07-04 16:52:02,673",ERROR,dbservice1,t166,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 16:52:02,159",WARNING,redisservice1,t166,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:52:06,637",WARNING,redisservice1,t172,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:52:07,191",ERROR,webservice1,t172,an error occurred in the downstream service
"2021-07-04 16:52:08,776",WARNING,redisservice1,t175,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:52:09,400",ERROR,webservice2,t175,an error occurred in the downstream service
"2021-07-04 16:52:09,380",ERROR,dbservice2,t175,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 16:52:12,506",WARNING,redisservice2,t181,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:52:12,548",WARNING,redisservice2,t180,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 16:52:13,193",ERROR,dbservice1,t180,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 16:52:13,227",ERROR,webservice1,t180,an error occurred in the downstream service
"2021-07-04 16:52:13,121",ERROR,webservice1,t181,an error occurred in the downstream service
"2021-07-04 16:52:21,872",WARNING,redisservice1,t194,"用户未扫描，请等待！, status_code: 300"
