beijing_time,message,parent_id,service_name,span_id,status_code,trace_id
2021-07-04 18:39:17,request call function 1 dbservice1.db_login_methods,s10,dbservice1,s1,200,t1
2021-07-04 18:39:17,request call function 1 logservice1.login_query_redis_info,s6,logservice1,s5,200,t1
2021-07-04 18:39:17,request call function 1 webservice1.web_login_service,,webservice1,s6,200,t1
2021-07-04 18:39:17,request call function 1 logservice2.login_model_implement,s5,logservice2,s10,200,t1
2021-07-04 18:39:18,request call function 1 redisservice2.get_key_value_from_redis,s21,redisservice2,s17,300,t4
2021-07-04 18:39:18,request call function 1 redisservice1.get_key_value_from_redis,s37,redisservice1,s19,200,t4
2021-07-04 18:39:18,request call function 1 redisservice1.set_key_value_into_redis,s41,redisservice1,s20,200,t4
2021-07-04 18:39:18,request call function 1 mobservice2.mob_info_to_redis,s41,mobservice2,s21,200,t4
2021-07-04 18:39:18,request call function 1 redisservice2.set_key_value_into_redis,s21,redisservice2,s24,200,t4
2021-07-04 18:39:18,request call function 1 redisservice2.keys_existence_checks,s40,redisservice2,s30,200,t4
2021-07-04 18:39:19,request call function 1 logservice2.login_query_redis_info,s41,logservice2,s37,500,t4
2021-07-04 18:39:19,request call function 1 dbservice1.db_login_methods,s43,dbservice1,s40,500,t4
2021-07-04 18:39:19,request call function 1 webservice2.web_login_service,,webservice2,s41,500,t4
2021-07-04 18:39:19,request call function 1 logservice1.login_model_implement,s37,logservice1,s43,500,t4
2021-07-04 18:39:34,request call function 1 logservice2.login_query_redis_info,s250,logservice2,s245,500,t26
2021-07-04 18:39:34,request call function 1 mobservice1.mob_info_to_redis,s250,mobservice1,s246,200,t26
2021-07-04 18:39:34,request call function 1 logservice1.login_model_implement,s245,logservice1,s247,500,t26
2021-07-04 18:39:34,request call function 1 dbservice2.db_login_methods,s247,dbservice2,s248,500,t26
2021-07-04 18:39:34,request call function 1 webservice1.web_login_service,,webservice1,s250,500,t26
2021-07-04 18:39:34,request call function 1 redisservice2.get_key_value_from_redis,s246,redisservice2,s251,300,t26
2021-07-04 18:39:34,request call function 1 redisservice2.set_key_value_into_redis,s246,redisservice2,s252,200,t26
2021-07-04 18:39:34,request call function 1 redisservice2.get_key_value_from_redis,s245,redisservice2,s253,200,t26
2021-07-04 18:39:34,request call function 1 redisservice1.keys_existence_checks,s248,redisservice1,s254,200,t26
2021-07-04 18:39:34,request call function 1 redisservice1.set_key_value_into_redis,s250,redisservice1,s255,200,t26
2021-07-04 18:39:41,request call function 1 redisservice2.get_key_value_from_redis,s359,redisservice2,s344,300,t37
2021-07-04 18:39:41,request call function 1 redisservice2.set_key_value_into_redis,s365,redisservice2,s348,200,t37
2021-07-04 18:39:42,request call function 1 redisservice2.set_key_value_into_redis,s359,redisservice2,s357,200,t37
2021-07-04 18:39:42,request call function 1 redisservice2.get_key_value_from_redis,s364,redisservice2,s358,200,t37
2021-07-04 18:39:42,request call function 1 mobservice1.mob_info_to_redis,s365,mobservice1,s359,200,t37
2021-07-04 18:39:42,request call function 1 dbservice2.db_login_methods,s361,dbservice2,s360,500,t37
2021-07-04 18:39:42,request call function 1 logservice1.login_model_implement,s364,logservice1,s361,500,t37
2021-07-04 18:39:42,request call function 1 redisservice2.keys_existence_checks,s360,redisservice2,s363,200,t37
2021-07-04 18:39:42,request call function 1 logservice2.login_query_redis_info,s365,logservice2,s364,500,t37
2021-07-04 18:39:42,request call function 1 webservice1.web_login_service,,webservice1,s365,500,t37
2021-07-04 18:39:44,request call function 1 redisservice2.set_key_value_into_redis,s406,redisservice2,s388,200,t41
2021-07-04 18:39:44,request call function 1 redisservice2.set_key_value_into_redis,s395,redisservice2,s392,200,t41
2021-07-04 18:39:44,request call function 1 redisservice2.get_key_value_from_redis,s402,redisservice2,s393,200,t41
2021-07-04 18:39:44,request call function 1 mobservice1.mob_info_to_redis,s406,mobservice1,s395,200,t41
2021-07-04 18:39:44,request call function 1 redisservice2.get_key_value_from_redis,s395,redisservice2,s398,300,t41
2021-07-04 18:39:45,request call function 1 redisservice2.keys_existence_checks,s407,redisservice2,s401,200,t41
2021-07-04 18:39:45,request call function 1 logservice1.login_query_redis_info,s406,logservice1,s402,500,t41
2021-07-04 18:39:45,request call function 1 logservice2.login_model_implement,s402,logservice2,s404,500,t41
2021-07-04 18:39:45,request call function 1 webservice1.web_login_service,,webservice1,s406,500,t41
2021-07-04 18:39:45,request call function 1 dbservice1.db_login_methods,s404,dbservice1,s407,500,t41
2021-07-04 18:39:50,request call function 1 logservice2.login_query_redis_info,s479,logservice2,s466,500,t49
2021-07-04 18:39:50,request call function 1 mobservice1.mob_info_to_redis,s479,mobservice1,s467,200,t49
2021-07-04 18:39:50,request call function 1 logservice1.login_model_implement,s466,logservice1,s470,500,t49
2021-07-04 18:39:50,request call function 1 redisservice2.set_key_value_into_redis,s479,redisservice2,s471,200,t49
2021-07-04 18:39:50,request call function 1 dbservice1.db_login_methods,s470,dbservice1,s475,500,t49
2021-07-04 18:39:50,request call function 1 redisservice2.get_key_value_from_redis,s466,redisservice2,s478,200,t49
2021-07-04 18:39:50,request call function 1 webservice1.web_login_service,,webservice1,s479,500,t49
2021-07-04 18:39:50,request call function 1 redisservice1.keys_existence_checks,s475,redisservice1,s481,200,t49
2021-07-04 18:39:50,request call function 1 redisservice1.set_key_value_into_redis,s467,redisservice1,s482,200,t49
2021-07-04 18:39:50,request call function 1 redisservice1.get_key_value_from_redis,s467,redisservice1,s483,300,t49
2021-07-04 18:40:01,request call function 1 mobservice2.mob_info_to_redis,s640,mobservice2,s622,200,t64
2021-07-04 18:40:01,request call function 1 redisservice1.get_key_value_from_redis,s643,redisservice1,s624,200,t64
2021-07-04 18:40:01,request call function 1 redisservice2.keys_existence_checks,s650,redisservice2,s627,200,t64
2021-07-04 18:40:01,request call function 1 redisservice1.set_key_value_into_redis,s640,redisservice1,s630,200,t64
2021-07-04 18:40:01,request call function 1 redisservice1.get_key_value_from_redis,s622,redisservice1,s634,300,t64
2021-07-04 18:40:01,request call function 1 redisservice1.set_key_value_into_redis,s622,redisservice1,s635,200,t64
2021-07-04 18:40:02,request call function 1 webservice2.web_login_service,,webservice2,s640,500,t64
2021-07-04 18:40:02,request call function 1 logservice1.login_query_redis_info,s640,logservice1,s643,500,t64
2021-07-04 18:40:02,request call function 1 logservice2.login_model_implement,s643,logservice2,s645,500,t64
2021-07-04 18:40:02,request call function 1 dbservice2.db_login_methods,s645,dbservice2,s650,500,t64
2021-07-04 18:40:11,request call function 1 redisservice1.get_key_value_from_redis,s778,redisservice1,s767,300,t79
2021-07-04 18:40:11,request call function 1 redisservice1.set_key_value_into_redis,s790,redisservice1,s769,200,t79
2021-07-04 18:40:11,request call function 1 redisservice1.set_key_value_into_redis,s778,redisservice1,s774,200,t79
2021-07-04 18:40:11,request call function 1 redisservice1.keys_existence_checks,s789,redisservice1,s775,200,t79
2021-07-04 18:40:11,request call function 1 redisservice2.get_key_value_from_redis,s788,redisservice2,s777,200,t79
2021-07-04 18:40:11,request call function 1 mobservice1.mob_info_to_redis,s790,mobservice1,s778,200,t79
2021-07-04 18:40:12,request call function 1 logservice2.login_model_implement,s788,logservice2,s784,500,t79
2021-07-04 18:40:12,request call function 1 logservice1.login_query_redis_info,s790,logservice1,s788,500,t79
2021-07-04 18:40:12,request call function 1 dbservice2.db_login_methods,s784,dbservice2,s789,500,t79
2021-07-04 18:40:12,request call function 1 webservice2.web_login_service,,webservice2,s790,500,t79
2021-07-04 18:40:20,request call function 1 mobservice1.mob_info_to_redis,s909,mobservice1,s897,200,t92
2021-07-04 18:40:20,request call function 1 redisservice2.set_key_value_into_redis,s909,redisservice2,s901,200,t92
2021-07-04 18:40:20,request call function 1 redisservice2.set_key_value_into_redis,s897,redisservice2,s902,200,t92
2021-07-04 18:40:20,request call function 1 redisservice2.get_key_value_from_redis,s897,redisservice2,s908,300,t92
2021-07-04 18:40:21,request call function 1 webservice2.web_login_service,,webservice2,s909,500,t92
2021-07-04 18:40:21,request call function 1 dbservice2.db_login_methods,s912,dbservice2,s911,500,t92
2021-07-04 18:40:21,request call function 1 logservice1.login_model_implement,s913,logservice1,s912,500,t92
2021-07-04 18:40:21,request call function 1 logservice2.login_query_redis_info,s909,logservice2,s913,500,t92
2021-07-04 18:40:21,request call function 1 redisservice1.get_key_value_from_redis,s913,redisservice1,s914,200,t92
2021-07-04 18:40:21,request call function 1 redisservice1.keys_existence_checks,s911,redisservice1,s915,200,t92
2021-07-04 18:40:36,request call function 1 mobservice2.mob_info_to_redis,s1148,mobservice2,s1121,200,t114
2021-07-04 18:40:36,request call function 1 redisservice2.set_key_value_into_redis,s1121,redisservice2,s1123,200,t114
2021-07-04 18:40:36,request call function 1 redisservice2.set_key_value_into_redis,s1148,redisservice2,s1126,200,t114
2021-07-04 18:40:36,request call function 1 redisservice2.get_key_value_from_redis,s1121,redisservice2,s1127,300,t114
2021-07-04 18:40:37,request call function 1 logservice1.login_query_redis_info,s1138,logservice1,s1129,500,t115
2021-07-04 18:40:37,request call function 1 mobservice2.mob_info_to_redis,s1138,mobservice2,s1130,200,t115
2021-07-04 18:40:37,request call function 1 redisservice1.get_key_value_from_redis,s1130,redisservice1,s1131,300,t115
2021-07-04 18:40:37,request call function 1 redisservice1.set_key_value_into_redis,s1138,redisservice1,s1132,200,t115
2021-07-04 18:40:37,request call function 1 redisservice2.get_key_value_from_redis,s1145,redisservice2,s1133,200,t114
2021-07-04 18:40:37,request call function 1 redisservice1.get_key_value_from_redis,s1129,redisservice1,s1134,200,t115
2021-07-04 18:40:37,request call function 1 dbservice2.db_login_methods,s1139,dbservice2,s1135,500,t115
2021-07-04 18:40:37,request call function 1 redisservice2.keys_existence_checks,s1141,redisservice2,s1136,200,t114
2021-07-04 18:40:37,request call function 1 redisservice2.keys_existence_checks,s1135,redisservice2,s1137,200,t115
2021-07-04 18:40:37,request call function 1 webservice1.web_login_service,,webservice1,s1138,500,t115
2021-07-04 18:40:37,request call function 1 logservice2.login_model_implement,s1129,logservice2,s1139,500,t115
2021-07-04 18:40:37,request call function 1 redisservice1.set_key_value_into_redis,s1130,redisservice1,s1140,200,t115
2021-07-04 18:40:38,request call function 1 dbservice1.db_login_methods,s1142,dbservice1,s1141,500,t114
2021-07-04 18:40:38,request call function 1 logservice2.login_model_implement,s1145,logservice2,s1142,500,t114
2021-07-04 18:40:38,request call function 1 logservice1.login_query_redis_info,s1148,logservice1,s1145,500,t114
2021-07-04 18:40:38,request call function 1 webservice1.web_login_service,,webservice1,s1148,500,t114
2021-07-04 18:41:09,request call function 1 mobservice1.mob_info_to_redis,s1503,mobservice1,s1486,200,t151
2021-07-04 18:41:09,request call function 1 redisservice2.keys_existence_checks,s1508,redisservice2,s1487,200,t151
2021-07-04 18:41:09,request call function 1 redisservice2.set_key_value_into_redis,s1486,redisservice2,s1488,200,t151
2021-07-04 18:41:09,request call function 1 redisservice1.get_key_value_from_redis,s1505,redisservice1,s1490,200,t151
2021-07-04 18:41:09,request call function 1 redisservice2.get_key_value_from_redis,s1486,redisservice2,s1495,300,t151
2021-07-04 18:41:09,request call function 1 redisservice1.set_key_value_into_redis,s1503,redisservice1,s1499,200,t151
2021-07-04 18:41:10,request call function 1 logservice2.login_model_implement,s1505,logservice2,s1502,500,t151
2021-07-04 18:41:10,request call function 1 webservice1.web_login_service,,webservice1,s1503,500,t151
2021-07-04 18:41:10,request call function 1 logservice1.login_query_redis_info,s1503,logservice1,s1505,500,t151
2021-07-04 18:41:10,request call function 1 dbservice2.db_login_methods,s1502,dbservice2,s1508,500,t151
2021-07-04 18:41:21,request call function 1 redisservice1.set_key_value_into_redis,s1780,redisservice1,s1661,200,t168
2021-07-04 18:41:29,request call function 1 mobservice2.mob_info_to_redis,s1754,mobservice2,s1743,200,t177
2021-07-04 18:41:29,request call function 1 redisservice2.get_key_value_from_redis,s1752,redisservice2,s1745,200,t177
2021-07-04 18:41:29,request call function 1 redisservice1.set_key_value_into_redis,s1754,redisservice1,s1747,200,t177
2021-07-04 18:41:29,request call function 1 redisservice1.get_key_value_from_redis,s1743,redisservice1,s1748,300,t177
2021-07-04 18:41:29,request call function 1 redisservice1.set_key_value_into_redis,s1743,redisservice1,s1749,200,t177
2021-07-04 18:41:29,request call function 1 redisservice1.keys_existence_checks,s1760,redisservice1,s1750,200,t177
2021-07-04 18:41:30,request call function 1 logservice2.login_query_redis_info,s1754,logservice2,s1752,500,t177
2021-07-04 18:41:30,request call function 1 webservice2.web_login_service,,webservice2,s1754,500,t177
2021-07-04 18:41:30,request call function 1 logservice1.login_model_implement,s1752,logservice1,s1758,500,t177
2021-07-04 18:41:30,request call function 1 dbservice2.db_login_methods,s1758,dbservice2,s1760,500,t177
2021-07-04 18:41:32,request call function 1 redisservice1.get_key_value_from_redis,s1783,redisservice1,s1773,400,t168
2021-07-04 18:41:32,request call function 1 redisservice2.get_key_value_from_redis,s1775,redisservice2,s1774,400,t168
