StartTimeUnixNano,EndTimeUnixNano,Duration,TraceID,SpanID,ParentID,PodName,OperationName
1674982717216000000,1674982717728766116,512766,t3,s180,s0,ts-gateway-service,/*
1674982717217165892,1674982717728479526,511313,t3,s832,s180,ts-gateway-service,FilteringWebHandler.handle
1674982717218466989,1674982717728711489,510244,t3,s674,s180,ts-gateway-service,HTTP POST
1674982717220000000,1674982717727125165,507125,t3,s811,s674,ts-travel-service,/api/v1/travelservice/trips/left
1674982717220908151,1674982717726614554,505706,t3,s305,s811,ts-travel-service,TravelController.queryInfo
1674982717221667569,1674982717223847027,2179,t3,s1036,s305,ts-travel-service,TripRepository.findAll
1674982717222644338,1674982717223282675,638,t3,s1101,s1036,ts-travel-service,SELECT Trip
1674982717223310740,1674982717223668567,357,t3,s675,s1036,ts-travel-service,Transaction.commit
1674982717222756766,1674982717223153886,397,t3,s918,s1101,ts-travel-service,SELECT ts.trip
1674982717224640545,1674982717327436315,102795,t3,s636,s305,ts-travel-service,HTTP POST
1674982717328995447,1674982717381319240,52323,t3,s1183,s305,ts-travel-service,HTTP POST
1674982717382192730,1674982717398724919,16532,t3,s392,s305,ts-travel-service,HTTP POST
1674982717399853746,1674982717432924071,33070,t3,s976,s305,ts-travel-service,HTTP POST
1674982717433664872,1674982717447629152,13964,t3,s71,s305,ts-travel-service,HTTP POST
1674982717448690775,1674982717480924278,32233,t3,s958,s305,ts-travel-service,HTTP POST
1674982717481581176,1674982717725109976,243528,t3,s1191,s305,ts-travel-service,HTTP POST
1674982717227000000,1674982717327252838,100252,t3,s223,s636,ts-basic-service,/api/v1/basicservice/basic/travels
1674982717227768819,1674982717326869232,99100,t3,s464,s223,ts-basic-service,BasicController.queryForTravels
1674982717229073086,1674982717236197121,7124,t3,s559,s464,ts-basic-service,HTTP POST
1674982717237415016,1674982717246341192,8926,t3,s376,s464,ts-basic-service,HTTP POST
1674982717247854806,1674982717313851063,65996,t3,s283,s464,ts-basic-service,HTTP POST
1674982717315373911,1674982717324708100,9334,t3,s83,s464,ts-basic-service,HTTP POST
1674982717231000000,1674982717235441331,4441,t3,s14,s559,ts-station-service,/api/v1/stationservice/stations/idlist
1674982717231867041,1674982717235128755,3261,t3,s866,s14,ts-station-service,StationController.queryForIdBatch
1674982717232736822,1674982717234809735,2072,t3,s1327,s866,ts-station-service,StationRepository.findByNames
1674982717232999174,1674982717234791671,1792,t3,s939,s1327,ts-station-service,SELECT station
1674982717234011189,1674982717234665971,654,t3,s587,s939,ts-station-service,SELECT ts.station
1674982717240000000,1674982717246015125,6015,t3,s314,s376,ts-train-service,/api/v1/trainservice/trains/byNames
1674982717241004934,1674982717245427184,4422,t3,s850,s314,ts-train-service,TrainController.retrieveByName
1674982717242169642,1674982717244684376,2514,t3,s254,s850,ts-train-service,TrainTypeRepository.findByNames
1674982717242452686,1674982717244643338,2190,t3,s225,s254,ts-train-service,SELECT train_type
1674982717243588691,1674982717244445204,856,t3,s1294,s225,ts-train-service,SELECT ts.train_type
1674982717255000000,1674982717313557640,58557,t3,s739,s283,ts-route-service,/api/v1/routeservice/routes/byIds/
1674982717258108784,1674982717312471442,54362,t3,s1368,s739,ts-route-service,RouteController.queryByIds
1674982717262269217,1674982717266913700,4644,t3,s915,s1368,ts-route-service,RouteRepository.findByIds
1674982717263529285,1674982717266809888,3280,t3,s388,s915,ts-route-service,SELECT route
1674982717265504328,1674982717266540796,1036,t3,s497,s388,ts-route-service,SELECT ts.route
1674982717267681998,1674982717268672234,990,t3,s824,s1368,ts-route-service,SELECT ts.route_stations
1674982717268847070,1674982717269724705,877,t3,s624,s1368,ts-route-service,SELECT ts.route_distances
1674982717269846700,1674982717270806722,960,t3,s354,s1368,ts-route-service,SELECT ts.route_stations
1674982717270900965,1674982717271661214,760,t3,s984,s1368,ts-route-service,SELECT ts.route_distances
1674982717271749124,1674982717306310562,34561,t3,s1055,s1368,ts-route-service,SELECT ts.route_stations
1674982717306489972,1674982717307388350,898,t3,s808,s1368,ts-route-service,SELECT ts.route_distances
1674982717307571466,1674982717308316613,745,t3,s787,s1368,ts-route-service,SELECT ts.route_stations
1674982717308396827,1674982717309161911,765,t3,s684,s1368,ts-route-service,SELECT ts.route_distances
1674982717309260433,1674982717310107436,847,t3,s1397,s1368,ts-route-service,SELECT ts.route_stations
1674982717310290273,1674982717311070307,780,t3,s310,s1368,ts-route-service,SELECT ts.route_distances
1674982717318000000,1674982717324156974,6156,t3,s407,s83,ts-price-service,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes
1674982717318978240,1674982717323673700,4695,t3,s184,s407,ts-price-service,PriceController.query
1674982717320152323,1674982717323078222,2925,t3,s134,s184,ts-price-service,PriceConfigRepository.findByRouteIdsAndTrainTypes
1674982717320430245,1674982717323036689,2606,t3,s62,s134,ts-price-service,SELECT price_config
1674982717321782838,1674982717322686126,903,t3,s758,s62,ts-price-service,SELECT ts.price_config
1674982717332000000,1674982717381182831,49182,t3,s128,s1183,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674982717383000000,1674982717398019778,15019,t3,s341,s392,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674982717402000000,1674982717432393600,30393,t3,s8,s976,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674982717435000000,1674982717447397665,12397,t3,s1228,s71,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674982717450000000,1674982717480385489,30385,t3,s308,s958,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674982717707000000,1674982717724103404,17103,t3,s488,s1191,ts-seat-service,/api/v1/seatservice/seats/left_tickets
1674982717333010022,1674982717380793581,47783,t3,s474,s128,ts-seat-service,SeatController.getLeftTicketOfInterval
1674982717383751943,1674982717397703798,13951,t3,s768,s341,ts-seat-service,SeatController.getLeftTicketOfInterval
1674982717402715065,1674982717432109578,29394,t3,s961,s8,ts-seat-service,SeatController.getLeftTicketOfInterval
1674982717435668530,1674982717447143593,11475,t3,s331,s1228,ts-seat-service,SeatController.getLeftTicketOfInterval
1674982717451068151,1674982717480141068,29072,t3,s916,s308,ts-seat-service,SeatController.getLeftTicketOfInterval
1674982717707889205,1674982717723798569,15909,t3,s3,s488,ts-seat-service,SeatController.getLeftTicketOfInterval
1674982717335592458,1674982717343429640,7837,t3,s60,s474,ts-seat-service,HTTP POST
1674982717344668234,1674982717379356909,34688,t3,s293,s474,ts-seat-service,HTTP GET
1674982717385824035,1674982717391421692,5597,t3,s1336,s768,ts-seat-service,HTTP POST
