TimeStamp,PodName,CpuUsageRate(%),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
1675087553,ts-assurance-service,0.5833719289008683,19.7958984375,0.0,0.0,450.60462103217446,26175.66400345497,0.0375,,0.04375,,0.0487499999999999,,0.0,0,6.429780033828525,56.07797287405136,2893685.3666666667
1675087613,ts-assurance-service,0.357702880718306,19.7888671875,0.0,0.0,1034.5991136180498,24878.323932312647,0.0046,,0.0048,,0.00496,,0.0,0,7.689054305558818,55.85056589258344,2894808.2
1675087673,ts-assurance-service,0.1784169266666898,19.7888671875,0.0,0.0,587.2766739021539,32328.902988812824,0.0046,,0.0048,,0.00496,,0.0,0,6.055231821633256,57.7761412543249,2893274.933333333
1675087733,ts-assurance-service,0.2239380025581203,19.7953125,0.0,0.0,704.1339121592554,39056.083538660096,0.0046,,0.0048,,0.00496,,0.0666666666666666,0,7.173637515839182,55.26077963061452,2893371.2666666666
1675087793,ts-assurance-service,0.9594099422234116,19.82109375,0.0,0.0,485.7915252106124,30256.56984785616,0.0175,,0.02125,,0.0242499999999999,,0.0666666666666666,0,6.608004061275619,55.221234856706616,2893272.0
1675087853,ts-assurance-service,0.3980713427933474,19.8181640625,0.0,0.0,791.9477536959954,35409.28663700302,0.02125,,0.023125,,0.024625,,0.0,0,7.677348440057785,56.54971357023564,2893318.0
1675087553,ts-auth-service,0.6832429489744861,23.6533203125,0.0,0.0,1474.0382197636409,33837.94317324617,15.00000000000001,,22.5,,28.5,,0.0,0,2.9076109759190394,48.68515003455477,99550.0
1675087613,ts-auth-service,1.7036696360583878,23.6662109375,0.0,0.0,2221.914746421159,30071.257516896385,12.000000000000012,0.235,20.99999999999999,0.2424999999999999,28.2,0.2485,0.1333333333333333,0,2.912173219745984,48.68312529319109,40107.53333333333
1675087673,ts-auth-service,1.3143540488581826,23.665625,0.0,0.0,2451.9879580608326,56274.0579258798,15.00000000000001,,22.5,,28.5,,0.0666666666666666,0,3.050136354118837,48.68761387645516,67008.5
1675087733,ts-auth-service,0.8958131133332851,23.6720703125,0.0,0.0,2418.3025404157047,52408.10238645112,0.1299999999999999,0.425,0.1899999999999998,0.4625,0.238,0.4925,0.1333333333333333,0,3.226618554093852,48.6795880944232,84936.03333333334
1675087793,ts-auth-service,3.1254979907450333,23.6646484375,0.0,0.0,1520.830867558291,32522.01443957865,0.145,0.475,0.1974999999999999,0.4875,0.2395,0.4975,0.0666666666666666,0,3.4042731813886284,48.67466041062243,90704.16666666669
1675087853,ts-auth-service,1.9413186523950607,23.6646484375,0.0,0.0,2282.424988880906,38311.12935782955,0.01,0.235,20.0,0.2424999999999999,27.999999999999982,0.2485,0.0666666666666666,0,3.0122503775776632,48.70115280967017,96009.93333333332
1675087553,ts-basic-service,2.124361414310604,21.242578125,0.0,0.0,6061.958445914469,103605.14301686388,0.0175,0.0475,10.000000000000068,0.04875,25.999999999999982,0.04975,0.2,0,2.628816192822669,40.04786200520334,29469.4
1675087613,ts-basic-service,2.2964510487272016,21.4037109375,0.0,0.0,6022.037914691943,103085.86097946289,0.0699999999999999,0.023,35.99999999999994,0.024,55.20000000000003,0.0248,0.4,0,2.86721800091686,40.06801186060496,28851.033333333333
1675087673,ts-basic-service,1.3415984562185344,21.44375,0.0,0.0,13776.116951379763,100065.2923784494,0.0237999999999999,0.086,0.0369999999999999,0.0929999999999999,15.599999999999936,0.0986,0.9333333333333332,0,2.7308629526960115,40.05291166630278,34493.333333333336
1675087733,ts-basic-service,2.751874147031192,21.469531250000003,0.0,0.0,13247.925655492863,71227.23752627503,0.0193333333333333,0.075,0.0225833333333333,0.0874999999999999,14.399999999999796,0.0975,0.8666666666666667,0,2.920320563930734,40.04100715124711,34545.13333333333
1675087793,ts-basic-service,1.5724124403369109,21.5259765625,0.0,0.0,7585.328578706062,113461.53846153848,0.0349999999999999,0.375,0.1599999999999996,0.4375,23.60000000000006,0.4874999999999999,0.3333333333333333,0,2.7626165085214205,40.0809165500813,31786.0
1675087853,ts-basic-service,1.1940856283281531,21.532421875,0.0,0.0,11035.012750706455,84079.8814528913,0.0230384615384615,0.095,0.0345833333333333,0.3499999999999998,0.1645000000000002,0.47,0.7333333333333333,0,2.5981112276963314,40.06518209882943,33429.4
1675087553,ts-config-service,2.7057160687155286,20.528515625,0.0,0.0,4173.066309232831,39402.66498462509,0.016,0.0046,0.0204999999999999,0.0048,0.0241,0.00496,0.4,0,12.826267663874102,42.31813596761386,127411.23333333334
1675087613,ts-config-service,0.4279172779136341,20.5736328125,0.0,0.0,1275.7731958762886,30450.73637702504,0.0046,,0.0047999999999999,,0.00496,,0.0,0,12.069898065126338,42.37707307493868,37670.8
1675087673,ts-config-service,1.3061172424025969,20.5798828125,0.0,0.0,5169.669774942158,38574.212998667885,0.0145,0.0047894736842105,0.0197499999999999,0.005,0.02395,0.0089999999999999,1.6,0,20.350803925939097,42.307890278426605,6514643.366666666
1675087733,ts-config-service,0.92777049530545,20.5732421875,0.0,0.0,4356.044115512988,41576.839355681324,0.0325,0.0046,0.0412499999999999,0.0048,0.04825,0.00496,1.0666666666666669,0,12.44333541271888,42.38085422213874,73043.57247633018
1675087793,ts-config-service,2.295988888894874,20.575,0.0,0.0,3710.743450153114,47035.13099693773,0.145,0.0049428571428571,0.1974999999999999,0.00925,0.2395,0.0442499999999999,1.2,0,34.02283355108799,42.3666322297669,14755170.766666668
1675087853,ts-config-service,0.826595219235276,20.575,0.0,0.0,3350.0780703171267,29714.90873849136,0.0325,0.0046,0.0412499999999999,0.0048,0.04825,0.0049599999999999,2.2666666666666666,0,12.417349357650451,42.25878415382195,110659.43333333332
1675087553,ts-contacts-service,1.2782189376844453,22.1173828125,204.0,258.0,2228.114611366155,49033.08532531265,0.0046,,0.0047999999999999,,0.00496,,0.0,0,9.498322076387488,61.71832404919394,93256.93333333332
1675087613,ts-contacts-service,0.8142846267489753,22.1173828125,76.0,50.0,1470.2893980800222,43121.50515030481,0.0046,,0.0047999999999999,,0.00496,,0.0,0,10.76402116407692,61.61415954245679,107986.63333333332
1675087673,ts-contacts-service,1.7649556869140282,22.1216796875,108.0,86.0,2192.1413567280365,38975.84332138886,0.0046,0.0235,0.0047999999999999,0.02425,0.00496,0.02485,0.2666666666666666,0,9.076271186308349,61.589472310415104,121031.53333333334
1675087733,ts-contacts-service,1.2791314757191548,22.1732421875,100.0,92.0,3016.8420122005127,55300.01768190257,0.0046,0.0235,0.0048,0.02425,0.00496,0.02485,0.1333333333333333,0,14.838381267627277,61.24716871356834,92750.76666666666
1675087793,ts-contacts-service,1.1158002350001084,22.121484375,180.00000000000003,212.0,3447.034698613135,68553.55890130052,0.0046,0.0235,0.0048,0.02425,0.00496,0.02485,0.4,0,13.965450726577622,60.84846503719551,2901887.7333333334
1675087853,ts-contacts-service,1.370735226548734,22.16640625,114.0,104.0,2255.11743158802,44666.45119586296,0.0046,,0.0047999999999999,,0.00496,,0.0,0,15.393405849351891,61.16734991589997,94584.23333333334
1675087553,ts-delivery-service,0.3189170876163696,21.5455078125,0.0,0.0,1144.7114981994807,30141.94791056025,0.0041999999999999,0.0,0.0046,0.0,0.00492,0.0,0.0,0,2.9076109759190394,48.68515003455477,99550.0
1675087613,ts-delivery-service,0.3237827199670906,21.590625,0.0,0.0,989.3069306930691,23943.036303630364,0.019,0.0,0.0219999999999999,0.0,0.0244,0.0,0.0,0,2.912173219745984,48.68312529319109,40107.53333333333
1675087673,ts-delivery-service,0.6452224397845366,21.5578125,0.0,0.0,1553.647760336219,26352.20374295054,0.0041999999999999,0.0,0.0046,0.0,0.00492,0.0,0.0,0,3.050136354118837,48.68761387645516,67008.5
1675087733,ts-delivery-service,0.4110480573211405,21.5578125,0.0,0.0,1533.305726455277,42807.856128726926,0.0175,0.0,0.02125,0.0,0.0242499999999999,0.0,0.0,0,3.226618554093852,48.6795880944232,84936.03333333334
1675087793,ts-delivery-service,1.1407860451278695,21.5607421875,0.0,0.0,887.6201923076923,21694.17067307692,0.0033999999999999,0.0,0.0041999999999999,0.0,0.00484,0.0,0.0,0,3.4042731813886284,48.67466041062243,90704.16666666669
1675087853,ts-delivery-service,0.3072308618910385,21.5564453125,0.0,0.0,1035.0113324585473,22179.589645711563,0.004,0.0,0.0045,0.0,0.0049,0.0,0.0,0,3.0122503775776632,48.70115280967017,96009.93333333332
1675087553,ts-execute-service,0.3913728509430922,20.98828125,0.0,0.0,3882.626560198465,57861.22955267851,0.0096428571428571,0.0235,0.0312499999999999,0.02425,0.04625,0.0248499999999999,0.3333333333333333,0,2.628816192822669,40.04786200520334,29469.4
1675087613,ts-execute-service,0.2135431229881782,20.98828125,0.0,0.0,943.5673224840092,1112.2985993037,0.00775,0.0235,0.008875,0.02425,0.0097749999999999,0.02485,0.1333333333333333,0,2.86721800091686,40.06801186060496,28851.033333333333
1675087673,ts-execute-service,0.4180225877599876,20.98828125,0.0,0.0,2318.2976172635995,54553.948748688745,0.0275,0.235,0.0387499999999999,0.2424999999999999,0.04775,0.2485,0.0666666666666666,0,2.7308629526960115,40.05291166630278,34493.333333333336
1675087733,ts-execute-service,0.2839561041928091,20.9779296875,0.0,0.0,1597.933160089442,43289.659757055655,0.019,,0.0219999999999999,,0.0244,,0.0666666666666666,0,2.920320563930734,40.04100715124711,34545.13333333333
1675087793,ts-execute-service,0.553043179350251,20.9779296875,0.0,0.0,3827.74022211492,87630.07001448575,0.0096666666666666,0.0235,0.0144999999999999,0.02425,0.0229,0.02485,0.2,0,2.7626165085214205,40.0809165500813,31786.0
1675087853,ts-execute-service,0.4792229622581284,20.9779296875,0.0,0.0,2051.356709205799,44955.64366249536,0.0096,0.0425,0.0324999999999999,0.04625,0.0465,0.04925,0.1333333333333333,0,2.5981112276963314,40.06518209882943,33429.4
1675087553,ts-food-service,0.8832937336930389,25.0150390625,0.0,0.0,3414.736735417828,91215.27390665382,13.000000000000004,,21.5,,28.29999999999999,,0.0,0,12.826267663874102,42.31813596761386,127411.23333333334
1675087613,ts-food-service,1.1330698086125988,25.0125,0.0,0.0,3224.516950133056,53190.15388175401,13.000000000000004,,21.5,,28.29999999999999,,0.0,0,12.069898065126338,42.37707307493868,37670.8
1675087673,ts-food-service,0.6674036530709535,25.017578125,0.0,0.0,3273.032336790726,72202.02867602196,0.0204999999999999,0.0475,16.999999999999996,0.04875,27.399999999999984,0.04975,0.0666666666666666,0,20.350803925939097,42.307890278426605,6514643.366666666
