StartTimeUnixNano,EndTimeUnixNano,Duration,TraceID,SpanID,ParentID,PodName,OperationName
1674984107859000000,1674984107934513646,75513,t15,s1279,s0,ts-gateway-service,/*
1674984107860053705,1674984107934224701,74170,t15,s5,s1279,ts-gateway-service,FilteringWebHandler.handle
1674984107861921745,1674984107934460774,72539,t15,s633,s1279,ts-gateway-service,HTTP GET
1674984107865000000,1674984107933496908,68496,t15,s682,s633,ts-food-service,/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}
1674984107866955362,1674984107932836908,65881,t15,s751,s682,ts-food-service,FoodController.getAllFood
1674984107868423741,1674984107877854129,9430,t15,s1656,s751,ts-food-service,HTTP GET
1674984107878866932,1674984107900888893,22021,t15,s1053,s751,ts-food-service,HTTP GET
1674984107901552766,1674984107931767271,30214,t15,s1575,s751,ts-food-service,HTTP POST
1674984107872000000,1674984107877679856,5679,t15,s622,s1656,ts-train-food-service,/api/v1/trainfoodservice/trainfoods/{tripId}
1674984107873274424,1674984107877253386,3978,t15,s1697,s622,ts-train-food-service,TrainFoodController.getTrainFoodOfTrip
1674984107873911859,1674984107875750406,1838,t15,s1513,s1697,ts-train-food-service,TrainFoodRepository.findByTripId
1674984107874185415,1674984107875723580,1538,t15,s1662,s1513,ts-train-food-service,SELECT TrainFood
1674984107874903378,1674984107875410506,507,t15,s1870,s1662,ts-train-food-service,SELECT ts.train_food
1674984107876225031,1674984107876691266,466,t15,s1773,s1697,ts-train-food-service,SELECT ts.train_food_list
1674984107881000000,1674984107900090574,19090,t15,s654,s1053,ts-travel-service,/api/v1/travelservice/routes/{tripId}
1674984107881686720,1674984107899869253,18182,t15,s734,s654,ts-travel-service,TravelController.getRouteByTripId
1674984107882142571,1674984107883329848,1187,t15,s112,s734,ts-travel-service,TripRepository.findByTripId
1674984107882316717,1674984107883315097,998,t15,s470,s112,ts-travel-service,SELECT Trip
1674984107882814700,1674984107883205126,390,t15,s1414,s470,ts-travel-service,SELECT ts.trip
1674984107883750907,1674984107898247471,14496,t15,s1038,s734,ts-travel-service,HTTP GET
1674984107887000000,1674984107897746581,10746,t15,s17,s1038,ts-route-service,/api/v1/routeservice/routes/{routeId}
1674984107888250527,1674984107897156792,8906,t15,s570,s17,ts-route-service,RouteController.queryById
1674984107889275807,1674984107894611419,5335,t15,s1634,s570,ts-route-service,RouteRepository.findById
1674984107891409630,1674984107892613604,1203,t15,s1039,s1634,ts-route-service,Session.find route.entity.Route
1674984107892673533,1674984107893971253,1297,t15,s537,s1634,ts-route-service,Transaction.commit
1674984107891605058,1674984107892392375,787,t15,s326,s1039,ts-route-service,SELECT ts.route
1674984107895100703,1674984107895955571,854,t15,s1330,s570,ts-route-service,SELECT ts.route_stations
1674984107896101527,1674984107896850565,749,t15,s1000,s570,ts-route-service,SELECT ts.route_distances
1674984107907000000,1674984107920599493,13599,t15,s591,s1575,ts-station-food-service,/api/v1/stationfoodservice/stationfoodstores
1674984107910268787,1674984107919302477,9033,t15,s599,s591,ts-station-food-service,StationFoodController.getFoodStoresByStationNames
1674984107912752281,1674984107917852547,5100,t15,s506,s599,ts-station-food-service,StationFoodRepository.findByStationNameIn
1674984107913465143,1674984107917744918,4279,t15,s1593,s506,ts-station-food-service,SELECT StationFoodStore
1674984107915534707,1674984107916739498,1204,t15,s550,s1593,ts-station-food-service,SELECT ts.station_food_store
1674984116615000000,1674984116633083697,18083,t4,s1853,s0,ts-gateway-service,/*
1674984116615840467,1674984116632861651,17021,t4,s1849,s1853,ts-gateway-service,FilteringWebHandler.handle
1674984116617184067,1674984116633101191,15917,t4,s1117,s1853,ts-gateway-service,HTTP GET
1674984116620000000,1674984116632508955,12508,t4,s137,s1117,ts-execute-service,/api/v1/executeservice/execute/execute/{orderId}
1674984116621332912,1674984116632045112,10712,t4,s1859,s137,ts-execute-service,ExecuteControlller.executeTicket
1674984116622370627,1674984116631007218,8636,t4,s915,s1859,ts-execute-service,HTTP GET
1674984116625000000,1674984116630161142,5161,t4,s699,s915,ts-order-service,/api/v1/orderservice/order/{orderId}
1674984116625751658,1674984116629985159,4233,t4,s1118,s699,ts-order-service,OrderController.getOrderById
1674984116626392908,1674984116629403853,3010,t4,s1234,s1118,ts-order-service,OrderRepository.findById
1674984116627491281,1674984116628338805,847,t4,s25,s1234,ts-order-service,Session.find order.entity.Order
1674984116628354004,1674984116629007237,653,t4,s1425,s1234,ts-order-service,Transaction.commit
1674984116627605502,1674984116628192261,586,t4,s1361,s25,ts-order-service,SELECT ts.orders
1674984107985000000,1674984108335185015,350185,t14,s1299,s0,ts-gateway-service,/*
1674984107985920284,1674984108334918314,348998,t14,s1322,s1299,ts-gateway-service,FilteringWebHandler.handle
1674984107987142682,1674984108335151164,348008,t14,s962,s1299,ts-gateway-service,HTTP POST
1674984107989000000,1674984108332534620,343534,t14,s478,s962,ts-preserve-service,/api/v1/preserveservice/preserve
1674984107990390178,1674984108331960840,341570,t14,s1543,s478,ts-preserve-service,PreserveController.preserve
1674984107991579708,1674984108029737615,38157,t14,s796,s1543,ts-preserve-service,HTTP GET
1674984108030928502,1674984108047568431,16639,t14,s24,s1543,ts-preserve-service,HTTP GET
1674984108049293105,1674984108198837530,149544,t14,s1498,s1543,ts-preserve-service,HTTP POST
1674984108199937661,1674984108243434331,43496,t14,s938,s1543,ts-preserve-service,HTTP POST
1674984108244510463,1674984108267225111,22714,t14,s300,s1543,ts-preserve-service,HTTP POST
1674984108268544699,1674984108283237901,14693,t14,s880,s1543,ts-preserve-service,HTTP POST
1674984108284015379,1674984108301938711,17923,t14,s1348,s1543,ts-preserve-service,HTTP GET
1674984108303567452,1674984108317405740,13838,t14,s1013,s1543,ts-preserve-service,HTTP POST
1674984108318543093,1674984108329649595,11106,t14,s491,s1543,ts-preserve-service,HTTP GET
1674984107995000000,1674984108030649496,35649,t14,s1546,s796,ts-security-service,/api/v1/securityservice/securityConfigs/{accountId}
1674984107996479755,1674984108029980678,33500,t14,s535,s1546,ts-security-service,SecurityController.check
1674984107997423250,1674984108015390184,17966,t14,s431,s535,ts-security-service,HTTP GET
1674984108016861865,1674984108026315767,9453,t14,s1264,s535,ts-security-service,HTTP GET
1674984108000000000,1674984108015093654,15093,t14,s461,s431,ts-order-service,/api/v1/orderservice/order/security/{checkDate}/{accountId}
1674984108106000000,1674984108113824193,7824,t14,s1652,s1143,ts-order-service,/api/v1/orderservice/order/tickets
1674984108156000000,1674984108163882405,7882,t14,s324,s1560,ts-order-service,/api/v1/orderservice/order/tickets
1674984108253000000,1674984108260693174,7693,t14,s1055,s89,ts-order-service,/api/v1/orderservice/order/tickets
1674984108271000000,1674984108283165077,12165,t14,s1401,s880,ts-order-service,/api/v1/orderservice/order
1674984108000785563,1674984108014429258,13643,t14,s1123,s461,ts-order-service,OrderController.securityInfoCheck
1674984108106399417,1674984108113600129,7200,t14,s1877,s1652,ts-order-service,OrderController.getTicketListByDateAndTripId
1674984108156410113,1674984108163667992,7257,t14,s1010,s324,ts-order-service,OrderController.getTicketListByDateAndTripId
1674984108253402449,1674984108260496782,7094,t14,s1680,s1055,ts-order-service,OrderController.getTicketListByDateAndTripId
1674984108271525402,1674984108282886561,11361,t14,s989,s1401,ts-order-service,OrderController.createNewOrder
1674984108001549441,1674984108007582288,6032,t14,s1248,s1123,ts-order-service,OrderRepository.findByAccountId
1674984108106919701,1674984108112726165,5806,t14,s37,s1877,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674984108156930049,1674984108162791189,5861,t14,s1690,s1010,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674984108253913489,1674984108259652136,5738,t14,s289,s1680,ts-order-service,OrderRepository.findByTravelDateAndTrainNumber
1674984108272079587,1674984108277797297,5717,t14,s1352,s989,ts-order-service,OrderRepository.findByAccountId
1674984108277836068,1674984108282464104,4628,t14,s254,s989,ts-order-service,OrderRepository.save
1674984108001641519,1674984108007566211,5924,t14,s76,s1248,ts-order-service,SELECT Order
1674984108106973139,1674984108112714940,5741,t14,s268,s37,ts-order-service,SELECT Order
