TimeStamp,Target,CpuAverageLoad ,CpuUsageRate(%),CpuUserUsageTime(%),AverageCpuUsagePerCore(%)
1716223206,10.131.114.2,1.22,0.31,0.8,0
1716223266,10.131.114.2,1.04,0.24,0.8,0
1716223326,10.131.114.2,1.1,0.31,0.8,0
1716223387,10.131.114.2,0.72,0.42,1,0.01
1716223446,10.131.114.2,0.74,0.28,0.9,0
1716223506,10.131.114.2,0.73,0.34,0.8,0
1716223566,10.131.114.2,0.74,0.29,0.8,0
1716223626,10.131.114.2,0.53,0.31,0.8,0
1716223688,10.131.114.2,8.56,90.77,90.1,1.13
1716223746,10.131.114.2,74.53,91.37,89.7,1.14
1716223806,10.131.114.2,99.53,91.13,90.8,1.14
1716223866,10.131.114.2,104.13,90.68,91.1,1.13
1716223927,10.131.114.2,99.91,91.07,91.1,1.14
1716223989,10.131.114.2,95.14,91.55,90.7,1.14
1716224047,10.131.114.2,94.68,91.35,90.9,1.14
1716224107,10.131.114.2,95.58,90.12,90.8,1.13
1716224167,10.131.114.2,92.59,90.81,91.2,1.14
1716224227,10.131.114.2,92.92,90.59,92.7,1.13
1716224288,10.131.114.2,89.3,91.89,90.3,1.15
1716224346,10.131.114.2,85.07,90.8,90.7,1.14
1716224406,10.131.114.2,82.18,91.01,91.5,1.14
1716224466,10.131.114.2,79.65,89.42,90.9,1.12
1716224526,10.131.114.2,78.9,90.78,91.5,1.13
1716224589,10.131.114.2,78.35,90.81,89.7,1.14
1716224646,10.131.114.2,78.49,91.14,91.4,1.14
1716224706,10.131.114.2,74,91.15,91.6,1.14
1716224766,10.131.114.2,71.37,90.75,90.7,1.13
1716224826,10.131.114.2,74.32,91.47,91.8,1.14
1716224887,10.131.114.2,68,0.33,1.2,0
1716224946,10.131.114.2,25.54,0.33,0.8,0
1716225006,10.131.114.2,9.66,0.78,0.8,0.01
1716225066,10.131.114.2,3.98,0.35,0.8,0
1716225126,10.131.114.2,1.87,0.35,0.8,0
1716225187,10.131.114.2,1.26,0.33,1,0
1716225246,10.131.114.2,0.91,0.34,0.8,0
1716225306,10.131.114.2,0.93,0.35,0.8,0
1716225366,10.131.114.2,0.7,0.31,0.8,0
1716225426,10.131.114.2,0.47,0.33,0.8,0
1716225487,10.131.114.2,0.57,0.42,1.2,0.01
1716225546,10.131.114.2,0.45,0.35,0.8,0
1716225606,10.131.114.2,0.35,0.38,0.8,0
1716225666,10.131.114.2,0.44,0.3,0.8,0
1716225726,10.131.114.2,0.3,0.31,0.8,0
1716225787,10.131.114.2,0.38,0.38,1.1,0
1716225846,10.131.114.2,0.36,0.38,1.1,0
1716225906,10.131.114.2,0.31,0.36,0.8,0
1716225966,10.131.114.2,0.3,0.3,0.8,0
1716226026,10.131.114.2,0.31,0.29,0.8,0
1716226087,10.131.114.2,0.37,0.34,1.2,0
1716226146,10.131.114.2,0.37,0.45,0.8,0.01
1716226206,10.131.114.2,0.27,0.36,0.8,0
1716226266,10.131.114.2,0.36,0.3,0.9,0
1716226326,10.131.114.2,0.37,0.35,0.8,0
1716226387,10.131.114.2,0.36,0.51,1,0.01
1716226446,10.131.114.2,0.42,0.37,0.8,0
1716226506,10.131.114.2,0.38,0.34,0.8,0
1716226566,10.131.114.2,0.9,0.39,0.8,0
1716226626,10.131.114.2,0.63,0.34,0.8,0
1716226687,10.131.114.2,0.43,0.36,1.2,0
1716226746,10.131.114.2,0.53,0.58,0.8,0.01
