TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%)
1718895908,onlineapp109,0.52,0.13,0.8
1718895968,onlineapp109,0.55,3.05,1.4
1718896028,onlineapp109,0.69,0.18,0.8
1718896088,onlineapp109,0.51,0.13,0.8
1718896148,onlineapp109,0.44,0.19,1
1718896208,onlineapp109,0.47,0.16,0.9
1718896268,onlineapp109,0.62,3.34,1.1
1718896328,onlineapp109,0.59,9.37,1
1718896390,onlineapp109,63.92,100,97.6
1718896450,onlineapp109,85.43,99.99,98.5
1718896510,onlineapp109,97.05,98.91,98.2
1718896571,onlineapp109,97.05,98.68,98.4
1718896630,onlineapp109,97.65,98.9,98.5
1718896690,onlineapp109,95.93,98.85,98.2
1718896749,onlineapp109,95.43,99.36,98.3
1718896809,onlineapp109,95.99,99.98,98.3
1718896872,onlineapp109,97.07,100,98.7
1718896931,onlineapp109,95.41,99.61,98.4
1718896990,onlineapp109,107.71,100,98
1718897049,onlineapp109,101.35,100,98
1718897109,onlineapp109,105.06,98.82,98.1
1718897170,onlineapp109,98.7,99.96,97.8
1718897229,onlineapp109,98.33,99.9,98.2
1718897290,onlineapp109,97.31,100,98.2
1718897351,onlineapp109,99.91,100,98.1
1718897410,onlineapp109,98.65,99.99,97.9
1718897471,onlineapp109,96.21,100,98
1718897530,onlineapp109,98.2,97.7,98.3
1718897590,onlineapp109,95.41,100,98.4
1718897650,onlineapp109,97.11,99.99,98.7
1718897710,onlineapp109,96.58,100,98.8
1718897771,onlineapp109,98.53,100,98.3
1718897831,onlineapp109,97.62,100,98.6
1718897890,onlineapp109,97.13,99.99,98.2
1718897951,onlineapp109,106.05,100,97.4
1718898011,onlineapp109,105.66,100,98.4
1718898072,onlineapp109,102.79,100,98.3
1718898130,onlineapp109,100.02,100,98.3
1718898188 ,onlineapp109,45.17,0.14,0.8
1718898248 ,onlineapp109,16.68,0.2,0.8
1718898308 ,onlineapp109,6.33,0.23,0.8
1718898368 ,onlineapp109,2.43,3.29,1.4
1718898428 ,onlineapp109,1.27,0.18,0.8
1718898488 ,onlineapp109,0.75,0.16,0.8
1718898548 ,onlineapp109,0.46,0.25,0.8
1718898608 ,onlineapp109,0.42,0.24,0.8
1718898668 ,onlineapp109,0.25,3.38,1.2
1718898728 ,onlineapp109,0.38,0.18,0.8
1718898788 ,onlineapp109,2.11,15.49,10.3
1718898848 ,onlineapp109,1.43,0.18,0.9
1718898908 ,onlineapp109,0.88,0.4,1.3
1718898968 ,onlineapp109,0.81,3.21,1.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
