TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%),AverageCpuUsagePerCore(%)
1716220811 ,app04,0.57,0.76,1.2,0.01
1716220871 ,app04,0.44,0.35,1.2,0
1716220931 ,app04,0.66,0.3,1.2,0
1716220992 ,app04,0.77,0.31,2.1,0
1716221051 ,app04,0.92,0.38,1.2,0
1716221111 ,app04,0.97,0.41,1.4,0.01
1716221171 ,app04,0.87,0.28,1.5,0
1716221231 ,app04,1.21,0.58,1.6,0.01
1716221293 ,app04,0.93,0.75,2.2,0.01
1716221351 ,app04,1.07,0.34,1.2,0
1716221411 ,app04,1.08,0.9,1.5,0.01
1716221471 ,app04,0.71,0.29,1.5,0
1716221531 ,app04,1.72,7.47,4.7,0.09
1716221592 ,app04,3.96,0.29,2.1,0
1716221651 ,app04,1.73,11.58,2.1,0.14
1716221711 ,app04,2.22,0.29,1.2,0
1716221771 ,app04,1.1,0.24,1.3,0
1716221831 ,app04,1.01,0.75,1.5,0.01
1716221893 ,app04,0.91,0.3,2.3,0
1716221951 ,app04,0.86,0.49,1.2,0.01
1716222011 ,app04,0.55,0.44,1.4,0.01
1716222071 ,app04,0.52,0.29,1.2,0
1716222131 ,app04,0.93,0.88,1.4,0.01
1716222192 ,app04,0.69,2.83,2.1,0.04
1716222251 ,app04,2.64,0.48,1.3,0.01
1716222311 ,app04,1.49,0.36,1.2,0
1716222371 ,app04,0.95,0.76,1.2,0.01
1716222431 ,app04,1.24,0.69,2.6,0.01
1716222492 ,app04,1.09,0.23,2,0
1716222551 ,app04,1.14,0.3,1.2,0
1716222611 ,app04,0.66,0.29,1.2,0
1716222671 ,app04,8.54,86.79,87,1.08
1716222731 ,app04,18.56,85.62,86.5,1.07
1716222793 ,app04,26.92,87.88,87.4,1.1
1716222851 ,app04,48.22,86.28,86.9,1.08
1716222911 ,app04,67.92,86.43,87.7,1.08
1716222972 ,app04,71.78,88.42,87,1.11
1716223032 ,app04,77.15,86.77,87.1,1.08
1716223094 ,app04,78.09,84.49,84.2,1.06
1716223152 ,app04,77.56,86.14,86.7,1.08
1716223212 ,app04,73.12,86.4,87.4,1.08
1716223272 ,app04,34.58,0.43,1.2,0.01
1716223332 ,app04,13.01,0.28,1.7,0
1716223393 ,app04,5.16,0.33,2.1,0
1716223452 ,app04,2.59,0.34,1.2,0
1716223512 ,app04,1.92,0.35,1.1,0
1716223572 ,app04,1.5,0.36,1.1,0
