StartTimeUnixNano,EndTimeUnixNano,Duration,TraceID,SpanID,ParentID,PodName,OperationName
1674991205525000000,1674991206311510799,786510,t6,s383,s0,ts-gateway-service,/*
1674991205525507807,1674991206311285852,785778,t6,s144,s383,ts-gateway-service,FilteringWebHandler.handle
1674991205526250968,1674991206311453500,785202,t6,s152,s383,ts-gateway-service,HTTP POST
1674991205530000000,1674991206309950557,779950,t6,s276,s152,ts-preserve-other-service,/api/v1/preserveotherservice/preserveOther
1674991205532320352,1674991206293325860,761005,t6,s411,s276,ts-preserve-other-service,PreserveOtherController.preserve
1674991205534292046,1674991205859846787,325554,t6,s412,s411,ts-preserve-other-service,HTTP GET
1674991205861026791,1674991205875204767,14177,t6,s639,s411,ts-preserve-other-service,HTTP GET
1674991205876914433,1674991206291690230,414775,t6,s425,s411,ts-preserve-other-service,HTTP POST
1674991205537000000,1674991205859879362,322879,t6,s364,s412,ts-security-service,/api/v1/securityservice/securityConfigs/{accountId}
1674991205539043668,1674991205859322987,320279,t6,s536,s364,ts-security-service,SecurityController.check
1674991205540252369,1674991205840833779,300581,t6,s684,s536,ts-security-service,HTTP GET
1674991205841783389,1674991205855597295,13813,t6,s520,s536,ts-security-service,HTTP GET
1674991205547000000,1674991205838855050,291855,t6,s86,s684,ts-order-service,/api/v1/orderservice/order/security/{checkDate}/{accountId}
1674991205548383067,1674991205838521131,290138,t6,s38,s86,ts-order-service,OrderController.securityInfoCheck
1674991205550418644,1674991205836160495,285741,t6,s160,s38,ts-order-service,OrderRepository.findByAccountId
1674991205550692976,1674991205836135953,285442,t6,s120,s160,ts-order-service,SELECT Order
1674991205553484796,1674991205829495545,276010,t6,s548,s120,ts-order-service,SELECT ts.orders
1674991205844000000,1674991205854824540,10824,t6,s255,s520,ts-order-other-service,/api/v1/orderOtherService/orderOther/security/{checkDate}/{accountId}
1674991205844765841,1674991205854619382,9853,t6,s683,s255,ts-order-other-service,OrderOtherController.securityInfoCheck
1674991205845271691,1674991205853485237,8213,t6,s329,s683,ts-order-other-service,OrderOtherRepository.findByAccountId
1674991205845340728,1674991205853472491,8131,t6,s167,s329,ts-order-other-service,SELECT Order
1674991205845919566,1674991205850266652,4347,t6,s607,s167,ts-order-other-service,SELECT ts.orders_other
1674991205856052890,1674991205857869503,1816,t6,s18,s536,ts-security-service,SecurityRepository.findByName
