timestamp,log_level,service_name,trace_id,message
"2021-07-04 17:55:08,470",WARNING,redisservice2,t16,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:55:09,027",ERROR,dbservice1,t16,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:55:09,052",ERROR,webservice2,t16,an error occurred in the downstream service
"2021-07-04 17:55:20,851",ERROR,dbservice1,t33,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:55:20,276",WARNING,redisservice2,t33,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:55:20,861",ERROR,webservice1,t33,an error occurred in the downstream service
"2021-07-04 17:55:35,083",ERROR,mobservice1,t38,"uuid:f3842612-dcad-11eb-95a7-0242ac110003 information has expired, mobile phone login is invalid"
"2021-07-04 17:55:35,214",ERROR,webservice1,t38,an error occurred in the downstream service
"2021-07-04 17:55:35,078",ERROR,redisservice1,t38,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:55:35,211",ERROR,redisservice2,t38,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:55:35,217",ERROR,logservice2,t38,"get information failed, fail code: 400"
"2021-07-04 17:55:37,220",WARNING,redisservice1,t45,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:55:37,808",ERROR,webservice2,t45,an error occurred in the downstream service
"2021-07-04 17:55:37,799",ERROR,dbservice1,t45,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:55:46,646",WARNING,redisservice2,t59,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:55:47,163",ERROR,webservice1,t59,an error occurred in the downstream service
"2021-07-04 17:56:02,571",WARNING,redisservice2,t81,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:56:03,184",ERROR,webservice1,t81,an error occurred in the downstream service
"2021-07-04 17:56:15,863",ERROR,dbservice2,t99,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:56:15,871",ERROR,webservice1,t99,an error occurred in the downstream service
"2021-07-04 17:56:15,249",WARNING,redisservice2,t99,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:56:16,194",WARNING,redisservice2,t101,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:56:16,746",ERROR,dbservice2,t101,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:56:16,762",ERROR,webservice1,t101,an error occurred in the downstream service
"2021-07-04 17:57:12,787",ERROR,webservice1,t182,an error occurred in the downstream service
"2021-07-04 17:57:12,778",ERROR,dbservice2,t182,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:57:12,212",WARNING,redisservice1,t182,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:57:34,163",WARNING,redisservice2,t204,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:57:34,729",ERROR,webservice1,t204,an error occurred in the downstream service
"2021-07-04 17:57:34,727",ERROR,dbservice1,t204,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:57:37,288",ERROR,webservice1,t201,an error occurred in the downstream service
"2021-07-04 17:57:37,292",ERROR,logservice2,t201,"get information failed, fail code: 400"
"2021-07-04 17:57:37,187",ERROR,redisservice1,t201,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:57:37,201",ERROR,mobservice2,t201,"uuid:3c500a32-dcae-11eb-b7bb-0242ac110003 information has expired, mobile phone login is invalid"
"2021-07-04 17:57:37,280",ERROR,redisservice1,t201,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:57:54,844",WARNING,redisservice1,t231,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:57:55,389",ERROR,dbservice2,t231,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:57:55,406",ERROR,webservice2,t231,an error occurred in the downstream service
"2021-07-04 17:58:00,641",WARNING,redisservice1,t239,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:58:01,202",ERROR,webservice2,t239,an error occurred in the downstream service
"2021-07-04 17:58:01,194",ERROR,dbservice1,t239,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 17:58:02,728",WARNING,redisservice2,t242,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:58:03,279",ERROR,webservice1,t242,an error occurred in the downstream service
"2021-07-04 17:58:03,273",ERROR,dbservice1,t242,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 17:58:17,327",ERROR,mobservice1,t248,"uuid:5439e122-dcae-11eb-ab98-0242ac110004 information has expired, mobile phone login is invalid"
"2021-07-04 17:58:17,420",ERROR,redisservice1,t248,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:58:17,435",ERROR,logservice1,t248,"get information failed, fail code: 400"
"2021-07-04 17:58:17,322",ERROR,redisservice1,t248,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:58:17,441",ERROR,webservice2,t248,an error occurred in the downstream service
"2021-07-04 17:58:18,734",ERROR,webservice1,t253,an error occurred in the downstream service
"2021-07-04 17:58:18,611",WARNING,redisservice2,t254,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:58:18,123",WARNING,redisservice2,t253,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:58:18,726",ERROR,dbservice2,t253,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:58:19,179",ERROR,webservice1,t254,an error occurred in the downstream service
"2021-07-04 17:58:19,169",ERROR,dbservice2,t254,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 17:58:19,523",WARNING,redisservice2,t255,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:58:20,097",ERROR,webservice2,t255,an error occurred in the downstream service
"2021-07-04 17:58:35,156",ERROR,redisservice2,t262,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:58:35,265",ERROR,redisservice1,t262,"二维码已过期， 请刷新重新扫描, status_code: 400"
"2021-07-04 17:58:35,274",ERROR,webservice1,t262,an error occurred in the downstream service
"2021-07-04 17:58:35,277",ERROR,logservice2,t262,"get information failed, fail code: 400"
"2021-07-04 17:58:35,165",ERROR,mobservice2,t262,"uuid:5edc9df4-dcae-11eb-a33e-0242ac110003 information has expired, mobile phone login is invalid"
"2021-07-04 17:58:58,668",ERROR,webservice1,t293,an error occurred in the downstream service
"2021-07-04 17:58:58,654",ERROR,dbservice2,t293,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:58:58,096",WARNING,redisservice1,t293,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:59:02,881",WARNING,redisservice1,t300,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:59:03,438",ERROR,webservice2,t300,an error occurred in the downstream service
"2021-07-04 17:59:03,427",ERROR,dbservice1,t300,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:59:11,773",WARNING,redisservice2,t313,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:59:12,400",ERROR,webservice1,t313,an error occurred in the downstream service
"2021-07-04 17:59:15,442",WARNING,redisservice1,t318,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 17:59:16,006",ERROR,webservice1,t318,an error occurred in the downstream service
"2021-07-04 17:59:16,000",ERROR,dbservice2,t318,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:59:40,957",ERROR,webservice2,t353,an error occurred in the downstream service
"2021-07-04 17:59:40,941",ERROR,dbservice1,t353,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 17:59:40,295",WARNING,redisservice1,t353,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:03,902",WARNING,redisservice2,t386,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:04,492",ERROR,webservice2,t386,an error occurred in the downstream service
"2021-07-04 18:00:04,484",ERROR,dbservice1,t386,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:00:10,649",ERROR,dbservice2,t395,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 18:00:10,056",WARNING,redisservice1,t395,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:10,666",ERROR,webservice2,t395,an error occurred in the downstream service
"2021-07-04 18:00:11,028",WARNING,redisservice1,t396,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:11,811",ERROR,dbservice2,t396,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:00:11,818",ERROR,webservice1,t396,an error occurred in the downstream service
"2021-07-04 18:00:12,692",WARNING,redisservice1,t397,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:13,285",ERROR,webservice2,t397,an error occurred in the downstream service
"2021-07-04 18:00:13,266",ERROR,dbservice2,t397,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:00:32,601",WARNING,redisservice2,t426,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:33,199",ERROR,webservice2,t426,an error occurred in the downstream service
"2021-07-04 18:00:33,544",WARNING,redisservice1,t428,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:33,188",ERROR,dbservice1,t426,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:00:34,093",ERROR,dbservice1,t428,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 18:00:34,096",ERROR,webservice1,t428,an error occurred in the downstream service
"2021-07-04 18:00:50,766",ERROR,dbservice1,t451,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:00:50,769",ERROR,webservice1,t451,an error occurred in the downstream service
"2021-07-04 18:00:50,234",WARNING,redisservice2,t451,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:58,764",WARNING,redisservice1,t463,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:00:59,315",ERROR,dbservice2,t463,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:00:59,327",ERROR,webservice1,t463,an error occurred in the downstream service
"2021-07-04 18:01:28,928",WARNING,redisservice1,t504,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:01:29,463",ERROR,webservice1,t504,an error occurred in the downstream service
"2021-07-04 18:01:34,801",WARNING,redisservice1,t513,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:01:35,366",ERROR,dbservice1,t513,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:01:35,386",ERROR,webservice2,t513,an error occurred in the downstream service
"2021-07-04 18:02:20,845",WARNING,redisservice1,t575,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:02:21,395",ERROR,dbservice1,t575,"(pymysql.err.OperationalError) (1065, 'Query was empty')(Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 18:02:21,398",ERROR,webservice1,t575,an error occurred in the downstream service
"2021-07-04 18:02:40,824",WARNING,redisservice1,t602,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 18:02:41,382",ERROR,webservice1,t602,an error occurred in the downstream service
