TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%)
1718892020,onlineapp109,0.63,0.3,0.8
1718892078,onlineapp109,0.7,0.35,0.4
1718892137,onlineapp109,1,0.59,0.4
1718892198,onlineapp109,1.12,0.3,0.4
1718892258,onlineapp109,1,0.29,0.4
1718892321,onlineapp109,1,0.33,0.8
1718892378,onlineapp109,0.87,0.24,0.5
1718892437,onlineapp109,0.72,0.76,0.5
1718892498,onlineapp109,0.97,0.25,0.4
1718892557,onlineapp109,0.65,0.29,0.4
1718892620,onlineapp109,0.69,0.36,0.8
1718892677,onlineapp109,0.6,0.3,0.4
1718892737,onlineapp109,0.62,0.55,0.3
1718892797,onlineapp109,0.47,0.24,0.4
1718892857,onlineapp109,0.54,0.26,0.4
1718892921,onlineapp109,4.74,0.21,0.7
1718892977,onlineapp109,1.96,0.39,0.6
1718893037,onlineapp109,1.8,0.5,0.4
1718893097,onlineapp109,1.01,0.29,0.3
1718893158,onlineapp109,3.22,16.36,21.5
1718893220,onlineapp109,3.46,15.73,16.5
1718893278,onlineapp109,11.06,15.3,15.9
1718893338,onlineapp109,20.47,17.66,16.1
1718893397,onlineapp109,24.02,15.57,16.2
1718893458,onlineapp109,19.4,17.92,16
1718893521,onlineapp109,7.97,16.08,16.7
1718893578,onlineapp109,16.25,16.12,16
1718893637,onlineapp109,9.98,16.91,16.3
1718893697,onlineapp109,19.76,15.89,16.1
1718893757,onlineapp109,14.12,15.79,16
1718893820,onlineapp109,11.01,16.33,16.7
1718893877,onlineapp109,14.9,17.17,15.9
1718893937,onlineapp109,11.65,16.59,16.1
1718893997,onlineapp109,23.62,16.4,16.3
1718894057,onlineapp109,10.83,17.35,15.9
1718894121,onlineapp109,17.46,16.27,16.5
1718894177,onlineapp109,19.48,15.92,16.1
1718894237,onlineapp109,10.07,16.39,16
1718894297 ,onlineapp109,18.95,16.45,16.1
1718894357 ,onlineapp109,11.62,15.82,15.6
1718894420 ,onlineapp109,10.73,15.88,16.7
1718894477 ,onlineapp109,18.04,16.64,16.9
1718894537 ,onlineapp109,11.65,16.96,17.2
1718894597 ,onlineapp109,14.45,16.75,16.6
1718894657 ,onlineapp109,11.55,15.75,16.4
1718894721 ,onlineapp109,15.83,15.81,16.6
1718894777 ,onlineapp109,15.53,15.86,15.1
1718894837 ,onlineapp109,10.3,16.33,15.2
1718894897 ,onlineapp109,11.71,16.57,16.6
1718894957 ,onlineapp109,16.13,0.45,0.4
1718895020 ,onlineapp109,6.38,0.26,0.8
1718895077 ,onlineapp109,2.74,0.19,1.3
1718895137 ,onlineapp110,1.38,0.66,1
1718895197 ,onlineapp111,0.87,0.51,0.4
1718895257 ,onlineapp112,0.46,0.21,0.4
1718895320 ,onlineapp113,0.46,0.33,0.7
1718895377 ,onlineapp114,0.66,0.29,0.4
1718895437 ,onlineapp115,0.51,0.71,0.4
1718895497 ,onlineapp116,0.51,0.23,0.3
1718895557 ,onlineapp117,0.42,0.16,0.4
1718895620 ,onlineapp118,0.32,0.2,0.8
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
