TimeStamp,Target,CpuAverageLoad,CpuUsageRate(%),CpuUserUsageTime(%),AverageCpuUsagePerCore(%)
1716220811,10.131.114.3,0.76,0.34,0.6,0
1716220871,10.131.114.3,1.12,0.31,0.6,0
1716220931,10.131.114.3,0.92,0.41,0.6,0.01
1716220994,10.131.114.3,1.04,0.44,0.6,0.01
1716221051,10.131.114.3,1.28,0.3,0.6,0
1716221111,10.131.114.3,1.12,0.28,0.6,0
1716221171,10.131.114.3,0.89,0.28,0.6,0
1716221231,10.131.114.3,1.32,0.35,0.6,0
1716221294,10.131.114.3,1.14,0.3,0.6,0
1716221351,10.131.114.3,0.72,0.33,0.6,0
1716221411,10.131.114.3,0.96,0.3,0.6,0
1716221471,10.131.114.3,0.76,0.34,0.6,0
1716221531,10.131.114.3,0.69,0.34,0.6,0
1716221594,10.131.114.3,1.46,0.37,0.6,0
1716221651,10.131.114.3,1.18,0.3,0.6,0
1716221711,10.131.114.3,0.89,0.36,0.6,0
1716221771,10.131.114.3,0.79,0.33,0.6,0
1716221831,10.131.114.3,0.62,0.36,0.6,0
1716221894,10.131.114.3,0.53,0.36,0.6,0
1716221951,10.131.114.3,0.79,0.29,0.6,0
1716222011,10.131.114.3,0.63,0.33,0.6,0
1716222071,10.131.114.3,0.51,0.3,0.6,0
1716222131,10.131.114.3,0.55,0.26,0.6,0
1716222194,10.131.114.3,0.62,0.26,0.6,0
1716222251,10.131.114.3,0.62,0.33,0.6,0
1716222311,10.131.114.3,0.57,0.29,0.6,0
1716222371,10.131.114.3,0.6,0.28,0.6,0
1716222431,10.131.114.3,0.61,0.25,0.6,0
1716222494,10.131.114.3,0.79,0.3,0.6,0
1716222551,10.131.114.3,0.95,0.35,0.6,0
1716222611,10.131.114.3,0.76,0.36,0.6,0
1716222671,10.131.114.3,0.63,0.33,0.6,0
1716222731,10.131.114.3,0.79,0.35,0.6,0
1716222794,10.131.114.3,0.6,0.26,0.6,0
1716222851,10.131.114.3,0.65,0.33,0.6,0
1716222911,10.131.114.3,0.62,0.29,0.6,0
1716222971,10.131.114.3,0.63,0.3,0.6,0
1716223031,10.131.114.3,0.67,0.33,0.6,0
1716223094,10.131.114.3,0.8,0.28,0.6,0
1716223151,10.131.114.3,0.59,0.26,0.6,0
1716223211,10.131.114.3,0.57,0.28,0.6,0
1716223271,10.131.114.3,0.64,0.29,0.6,0
1716223331,10.131.114.3,0.7,0.3,0.6,0
1716223394,10.131.114.3,0.64,0.34,0.6,0
1716223451,10.131.114.3,0.53,0.35,0.6,0
1716223511,10.131.114.3,0.81,0.28,0.6,0
1716223571,10.131.114.3,1.06,0.39,0.6,0
1716223631,10.131.114.3,0.93,0.41,0.6,0.01
1716223698,10.131.114.3,21.15,91.5,0.6,1.14
1716223752,10.131.114.3,66.07,89.36,0.6,1.12
1716223812,10.131.114.3,80.36,91.04,0.6,1.14
1716223872,10.131.114.3,81.86,91.38,0.6,1.14
1716223932,10.131.114.3,92.6,91.66,0.6,1.15
1716223995,10.131.114.3,91.17,90.95,0.6,1.14
1716224052,10.131.114.3,93.75,91.69,0.6,1.15
1716224111,10.131.114.3,89.73,90.7,0.6,1.13
1716224172,10.131.114.3,88.46,90.16,0.6,1.13
1716224232,10.131.114.3,83.78,91.6,0.6,1.15
1716224297,10.131.114.3,86.61,92.17,0.6,1.15
1716224352,10.131.114.3,81.04,90.74,0.6,1.13
1716224412,10.131.114.3,78.65,90.5,0.6,1.13
1716224472,10.131.114.3,78.01,90.49,0.6,1.13
1716224532,10.131.114.3,75.99,91.88,0.6,1.15
1716224596,10.131.114.3,91.44,92.04,0.6,1.15
1716224652,10.131.114.3,82.86,91.54,0.6,1.14
1716224712,10.131.114.3,78.82,90.96,0.6,1.14
1716224772,10.131.114.3,78.35,91.85,0.6,1.15
1716224832,10.131.114.3,85.14,91.78,0.6,1.15
1716224894,10.131.114.3,74.11,0.34,0.6,0
1716224951,10.131.114.3,27.41,0.5,0.6,0.01
1716225011,10.131.114.3,10.24,0.46,0.6,0.01
1716225071,10.131.114.3,3.98,0.48,0.6,0.01
1716225131,10.131.114.3,1.63,0.52,0.6,0.01
1716225193,10.131.114.3,0.96,0.25,0.6,0
1716225251,10.131.114.3,0.72,0.43,0.6,0.01
1716225311,10.131.114.3,0.78,0.41,0.6,0.01
1716225371,10.131.114.3,0.47,0.3,0.6,0
1716225431,10.131.114.3,0.32,0.31,0.6,0
1716225494,10.131.114.3,0.38,0.31,0.6,0
1716225551,10.131.114.3,0.46,0.35,0.6,0
1716225611,10.131.114.3,0.35,0.33,0.6,0
1716225671,10.131.114.3,0.47,0.29,0.6,0
1716225731,10.131.114.3,0.57,0.35,0.6,0
1716225793,10.131.114.3,0.6,0.38,0.6,0
1716225851,10.131.114.3,0.45,0.4,0.6,0.01
1716225911,10.131.114.3,0.43,0.29,0.6,0
1716225971,10.131.114.3,0.42,0.37,0.6,0
1716226031,10.131.114.3,0.37,0.3,0.6,0
1716226094,10.131.114.3,0.37,0.3,0.6,0
1716226151,10.131.114.3,0.53,0.3,0.6,0
1716226211,10.131.114.3,0.41,0.3,0.6,0
1716226271,10.131.114.3,0.91,0.35,0.6,0
1716226331,10.131.114.3,0.61,0.33,0.6,0
1716226393,10.131.114.3,0.48,0.4,0.6,0.01
1716226451,10.131.114.3,0.42,0.33,0.6,0
1716226511,10.131.114.3,0.28,0.34,0.6,0
1716226571,10.131.114.3,0.28,0.26,0.6,0
1716226631,10.131.114.3,0.26,0.29,0.6,0
1716226694,10.131.114.3,0.28,0.45,0.6,0.01
1716226751,10.131.114.3,0.27,0.26,0.6,0
1716226811,10.131.114.3,0.34,0.31,0.6,0
1716226871,10.131.114.3,0.44,0.33,0.6,0
1716226931,10.131.114.3,0.35,0.33,0.6,0
1716226993,10.131.114.3,0.43,0.45,0.6,0.01
1716227051,10.131.114.3,0.48,0.33,0.6,0
1716227111,10.131.114.3,0.32,0.36,0.6,0
1716227171,10.131.114.3,0.39,0.49,0.6,0.01
1716227231,10.131.114.3,0.35,0.5,0.6,0.01
1716227294,10.131.114.3,0.5,0.34,0.6,0
1716227351,10.131.114.3,0.57,0.48,0.6,0.01
1716227411,10.131.114.3,0.47,0.44,0.6,0.01
1716227471,10.131.114.3,0.5,0.37,0.6,0
1716227531,10.131.114.3,0.94,0.39,0.6,0
