TimeStamp,Target,PhysicalMemoryUsage(Gb),PhysicalMemoryUsageRate(%),FreePhysicalMemory(Gb),Buffers+CachedUsage(Gb)
1718367058,chaos-node02,150.39,29.88,120.21,240.93
1718367118,chaos-node02,150.35,29.87,121.22,239.98
1718367178,chaos-node02,150.4,29.88,121.15,239.99
1718367238,chaos-node02,150.42,29.89,121.11,240.01
1718367298,chaos-node02,150.42,29.89,121.09,240.03
1718367358,chaos-node02,150.52,29.91,120.97,240.05
1718367418,chaos-node02,151.04,30.01,120.43,240.06
1718367478,chaos-node02,151.72,30.15,119.73,240.19
1718367538,chaos-node02,150.55,29.91,120.89,240.21
1718367598,chaos-node02,170.64,33.91,100.79,240.22
1718367658,chaos-node02,189.29,37.61,82.11,240.24
1718367718,chaos-node02,204.48,40.63,66.61,240.57
1718367778,chaos-node02,228.62,45.43,42.74,240.28
1718367838,chaos-node02,243.44,48.37,27.92,240.3
1718367898,chaos-node02,256.02,50.87,15.3,240.32
1718367958,chaos-node02,256.02,50.87,15.28,240.34
1718368018,chaos-node02,237.12,47.11,34.17,240.35
1718368078,chaos-node02,237.11,47.11,32.62,241.91
1718368138,chaos-node02,263.81,52.42,8.66,239.16
1718368139,chaos-node02,263.82,52.42,8.65,239.16
1718368198,chaos-node02,150.5,29.9,122.49,238.64
1718368258,chaos-node02,150.61,29.92,122.36,238.66
1718368318,chaos-node02,151.15,30.03,121.81,238.68
1718368378,chaos-node02,151.64,30.13,121.3,238.69
1718368438,chaos-node02,150.45,29.89,122.48,238.71
1718368498,chaos-node02,150.49,29.9,122.41,238.73
1718368558,chaos-node02,150.46,29.9,122.43,238.75
