StartTimeUnixNano,EndTimeUnixNano,Duration,TraceID,SpanID,ParentID,PodName,OperationName
1675085461411000000,1675085461471277547,60277,t3,s2523,s0,ts-gateway-service,/*
1675085461411754426,1675085461471120545,59366,t3,s1665,s2523,ts-gateway-service,FilteringWebHandler.handle
1675085461412768076,1675085461471268005,58499,t3,s158,s2523,ts-gateway-service,HTTP GET
1675085461414000000,1675085461469714654,55714,t3,s804,s158,ts-food-service,/api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId}
1675085461416481102,1675085461469115397,52634,t3,s2185,s804,ts-food-service,FoodController.getAllFood
1675085461418179834,1675085461427520982,9341,t3,s516,s2185,ts-food-service,HTTP GET
1675085461428711524,1675085461453307445,24595,t3,s429,s2185,ts-food-service,HTTP GET
1675085461454053026,1675085461466638668,12585,t3,s96,s2185,ts-food-service,HTTP POST
1675085461422000000,1675085461427953703,5953,t3,s1246,s516,ts-train-food-service,/api/v1/trainfoodservice/trainfoods/{tripId}
1675085461423216702,1675085461427483312,4266,t3,s250,s1246,ts-train-food-service,TrainFoodController.getTrainFoodOfTrip
1675085461424077622,1675085461425950181,1872,t3,s1218,s250,ts-train-food-service,TrainFoodRepository.findByTripId
1675085461424362538,1675085461425938826,1576,t3,s1322,s1218,ts-train-food-service,SELECT TrainFood
1675085461425129619,1675085461425562108,432,t3,s2348,s1322,ts-train-food-service,SELECT ts.train_food
1675085461426443301,1675085461426966853,523,t3,s2088,s250,ts-train-food-service,SELECT ts.train_food_list
1675085461432000000,1675085461453088492,21088,t3,s1282,s429,ts-travel-service,/api/v1/travelservice/routes/{tripId}
1675085461433058307,1675085461452557042,19498,t3,s62,s1282,ts-travel-service,TravelController.getRouteByTripId
1675085461433753895,1675085461436221826,2467,t3,s179,s62,ts-travel-service,TripRepository.findByTripId
1675085461433986920,1675085461436186207,2199,t3,s2759,s179,ts-travel-service,SELECT Trip
1675085461435129923,1675085461436028820,898,t3,s568,s2759,ts-travel-service,SELECT ts.trip
1675085461436990440,1675085461449823707,12833,t3,s1401,s62,ts-travel-service,HTTP GET
1675085461440000000,1675085461449707139,9707,t3,s1541,s1401,ts-route-service,/api/v1/routeservice/routes/{routeId}
1675085461440904354,1675085461449260219,8355,t3,s1902,s1541,ts-route-service,RouteController.queryById
1675085461441817320,1675085461446857106,5039,t3,s904,s1902,ts-route-service,RouteRepository.findById
1675085461444065733,1675085461445178942,1113,t3,s1981,s904,ts-route-service,Session.find route.entity.Route
1675085461445199726,1675085461446297067,1097,t3,s675,s904,ts-route-service,Transaction.commit
1675085461444236259,1675085461444978229,741,t3,s677,s1981,ts-route-service,SELECT ts.route
1675085461447211040,1675085461448020568,809,t3,s1081,s1902,ts-route-service,SELECT ts.route_stations
1675085461448203330,1675085461448961440,758,t3,s578,s1902,ts-route-service,SELECT ts.route_distances
1675085461458000000,1675085461467912017,9912,t3,s208,s96,ts-station-food-service,/api/v1/stationfoodservice/stationfoodstores
1675085461459754227,1675085461466339596,6585,t3,s57,s208,ts-station-food-service,StationFoodController.getFoodStoresByStationNames
1675085461461211180,1675085461465312634,4101,t3,s1377,s57,ts-station-food-service,StationFoodRepository.findByStationNameIn
1675085461461662962,1675085461465238484,3575,t3,s2146,s1377,ts-station-food-service,SELECT StationFoodStore
1675085461463858219,1675085461464768797,910,t3,s1676,s2146,ts-station-food-service,SELECT ts.station_food_store
1675085454499000000,1675085455020009316,521009,t6,s703,s0,ts-gateway-service,/*
1675085454500119498,1675085455019774031,519654,t6,s862,s703,ts-gateway-service,FilteringWebHandler.handle
1675085454501181615,1675085455019938661,518757,t6,s850,s703,ts-gateway-service,HTTP POST
1675085454504000000,1675085455018169242,514169,t6,s1675,s850,ts-travel-service,/api/v1/travelservice/trips/left
1675085454505814498,1675085455017317398,511502,t6,s1804,s1675,ts-travel-service,TravelController.queryInfo
1675085454507313300,1675085454515258281,7944,t6,s2139,s1804,ts-travel-service,TripRepository.findAll
1675085454510558612,1675085454512756000,2197,t6,s640,s2139,ts-travel-service,SELECT Trip
1675085454512826426,1675085454514313917,1487,t6,s2783,s2139,ts-travel-service,Transaction.commit
1675085454510795571,1675085454512513412,1717,t6,s2725,s640,ts-travel-service,SELECT ts.trip
1675085454517551704,1675085454816055793,298504,t6,s2495,s1804,ts-travel-service,HTTP POST
1675085454819086701,1675085454848876642,29789,t6,s1828,s1804,ts-travel-service,HTTP POST
1675085454850637426,1675085454890450530,39813,t6,s2535,s1804,ts-travel-service,HTTP POST
1675085454893419161,1675085454914448672,21029,t6,s2001,s1804,ts-travel-service,HTTP POST
1675085454916103465,1675085454953368700,37265,t6,s483,s1804,ts-travel-service,HTTP POST
1675085454956392777,1675085454983702239,27309,t6,s2223,s1804,ts-travel-service,HTTP POST
1675085454985295645,1675085455014805630,29509,t6,s894,s1804,ts-travel-service,HTTP POST
1675085454521000000,1675085454814899089,293899,t6,s2810,s2495,ts-basic-service,/api/v1/basicservice/basic/travels
1675085454521536548,1675085454814751755,293215,t6,s1900,s2810,ts-basic-service,BasicController.queryForTravels
1675085454522572824,1675085454538308259,15735,t6,s2085,s1900,ts-basic-service,HTTP POST
1675085454538754973,1675085454544004925,5249,t6,s1413,s1900,ts-basic-service,HTTP POST
1675085454526000000,1675085454538077074,12077,t6,s872,s2085,ts-station-service,/api/v1/stationservice/stations/idlist
1675085454526755946,1675085454537838992,11083,t6,s2505,s872,ts-station-service,StationController.queryForIdBatch
1675085454528021964,1675085454537445058,9423,t6,s586,s2505,ts-station-service,StationRepository.findByNames
1675085454531115168,1675085454537419845,6304,t6,s1886,s586,ts-station-service,SELECT station
1675085454535975174,1675085454537334887,1359,t6,s447,s1886,ts-station-service,SELECT ts.station
1675085454541000000,1675085454544160683,3160,t6,s1403,s1413,ts-train-service,/api/v1/trainservice/trains/byNames
1675085454541660925,1675085454543942905,2281,t6,s629,s1403,ts-train-service,TrainController.retrieveByName
1675085454542379159,1675085454543666317,1287,t6,s1587,s629,ts-train-service,TrainTypeRepository.findByNames
1675085454542492313,1675085454543655815,1163,t6,s293,s1587,ts-train-service,SELECT train_type
1675085454543085896,1675085454543589077,503,t6,s1704,s293,ts-train-service,SELECT ts.train_type
1675085454544738787,1675085454803048749,258309,t6,s186,s1900,ts-basic-service,HTTP POST
1675085454804485087,1675085454813823768,9338,t6,s2700,s1900,ts-basic-service,HTTP POST
1675085454788000000,1675085454803488422,15488,t6,s2765,s186,ts-route-service,/api/v1/routeservice/routes/byIds/
1675085454789001015,1675085454803049756,14048,t6,s1347,s2765,ts-route-service,RouteController.queryByIds
1675085454790335931,1675085454793315454,2979,t6,s1249,s1347,ts-route-service,RouteRepository.findByIds
1675085454790582129,1675085454793290063,2707,t6,s672,s1249,ts-route-service,SELECT route
1675085454792046090,1675085454792996499,950,t6,s1010,s672,ts-route-service,SELECT ts.route
1675085454793651189,1675085454794613175,961,t6,s1223,s1347,ts-route-service,SELECT ts.route_stations
1675085454794839716,1675085454795744551,904,t6,s1705,s1347,ts-route-service,SELECT ts.route_distances
1675085454795935894,1675085454796692691,756,t6,s2593,s1347,ts-route-service,SELECT ts.route_stations
1675085454796805447,1675085454797514342,708,t6,s1750,s1347,ts-route-service,SELECT ts.route_distances
1675085454797615662,1675085454798369334,753,t6,s875,s1347,ts-route-service,SELECT ts.route_stations
1675085454798460253,1675085454799230346,770,t6,s906,s1347,ts-route-service,SELECT ts.route_distances
1675085454799337006,1675085454800200194,863,t6,s693,s1347,ts-route-service,SELECT ts.route_stations
1675085454800319493,1675085454801054396,734,t6,s139,s1347,ts-route-service,SELECT ts.route_distances
1675085454801146357,1675085454801859828,713,t6,s2540,s1347,ts-route-service,SELECT ts.route_stations
1675085454801949662,1675085454802686156,736,t6,s577,s1347,ts-route-service,SELECT ts.route_distances
1675085454808000000,1675085454813617596,5617,t6,s573,s2700,ts-price-service,/api/v1/priceservice/prices/byRouteIdsAndTrainTypes
1675085454808874296,1675085454813150807,4276,t6,s1940,s573,ts-price-service,PriceController.query
1675085454810119645,1675085454812634409,2514,t6,s2132,s1940,ts-price-service,PriceConfigRepository.findByRouteIdsAndTrainTypes
1675085454810287479,1675085454812607345,2319,t6,s486,s2132,ts-price-service,SELECT price_config
1675085454811428724,1675085454812375183,946,t6,s754,s486,ts-price-service,SELECT ts.price_config
