TimeUnixNano,TraceID,SpanID,Log
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:29.295+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:23.320+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:33.467+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:29.386+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:44.194+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:45.338+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:20.146+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:34.129+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:11.366+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
-6795364578871345152,,,"ERROR o.a.c.c.C.[.[.[.[dispatcherServlet]#175 Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 Internal Server Error: [{\""timestamp\"":\""2023-01-29T09:20:19.555+00:00\"",\""status\"":500,\""error\"":\""Internal Server Error\"",\""message\"":\""\"",\""path\"":\""/api/v1/basicservice/basic/travels\""}]] with root cause"
