timestamp,log_level,service_name,trace_id,message
"2021-07-04 04:00:03,006",ERROR,webservice1,t2,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:08,387",ERROR,webservice1,t5,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:11,803",ERROR,webservice1,t13,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:11,347",ERROR,webservice1,t9,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:11,574",ERROR,webservice1,t11,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:13,004",ERROR,webservice1,t14,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:17,432",ERROR,webservice1,t21,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:17,190",ERROR,webservice1,t20,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:17,659",ERROR,webservice1,t24,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:18,811",ERROR,webservice1,t25,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:19,018",ERROR,webservice1,t26,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:21,431",ERROR,webservice1,t31,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:21,218",ERROR,webservice1,t30,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:21,813",WARNING,redisservice2,t32,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 04:00:22,389",ERROR,webservice2,t32,an error occurred in the downstream service
"2021-07-04 04:00:22,359",ERROR,dbservice2,t32,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 04:00:22,581",ERROR,webservice1,t33,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:22,795",ERROR,webservice1,t34,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:25,846",ERROR,webservice1,t42,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:26,059",ERROR,webservice1,t40,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:27,283",ERROR,webservice1,t43,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:28,841",ERROR,webservice1,t48,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:28,361",ERROR,webservice1,t45,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:32,470",ERROR,webservice1,t52,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:32,678",ERROR,webservice1,t54,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:34,823",ERROR,webservice1,t58,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:34,014",ERROR,webservice1,t56,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:36,229",ERROR,webservice1,t60,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:37,074",ERROR,webservice1,t62,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:38,200",ERROR,webservice1,t63,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:38,457",ERROR,webservice1,t65,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:38,399",ERROR,webservice1,t64,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:38,812",ERROR,webservice1,t67,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:38,605",ERROR,webservice1,t68,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:40,074",ERROR,webservice1,t69,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:40,336",ERROR,webservice1,t70,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:42,692",ERROR,webservice1,t76,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:42,480",ERROR,webservice1,t74,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:43,895",ERROR,webservice1,t79,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:43,660",ERROR,webservice1,t78,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:45,891",ERROR,webservice1,t82,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:46,974",ERROR,webservice1,t84,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:47,441",ERROR,webservice1,t85,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:47,231",ERROR,webservice1,t83,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:48,680",ERROR,webservice1,t88,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:52,844",ERROR,webservice1,t97,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:52,603",ERROR,webservice1,t94,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:53,052",ERROR,webservice1,t96,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:54,059",ERROR,webservice1,t98,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:54,455",ERROR,webservice1,t99,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:54,247",ERROR,webservice1,t100,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:56,892",ERROR,webservice1,t106,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:56,676",ERROR,webservice1,t105,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:57,975",ERROR,webservice1,t107,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:00:58,187",ERROR,webservice1,t109,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:01:01,459",ERROR,webservice1,t114,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
"2021-07-04 04:01:01,227",ERROR,webservice1,t113,get a error [Errno 2] No such file or directory: 'resources/source_file/source_file.csv'
