beijing_time,message,parent_id,service_name,span_id,status_code,trace_id
2021-07-04 00:38:15,request call function 1 redisservice1.get_key_value_from_redis,s12,redisservice1,s1,200,t1
2021-07-04 00:38:15,request call function 1 redisservice1.get_key_value_from_redis,s3,redisservice1,s2,300,t1
2021-07-04 00:38:15,request call function 1 mobservice1.mob_info_to_redis,s13,mobservice1,s3,200,t1
2021-07-04 00:38:15,request call function 1 redisservice1.set_key_value_into_redis,s3,redisservice1,s4,200,t1
2021-07-04 00:38:16,request call function 1 redisservice2.get_key_value_from_redis,s8,redisservice2,s5,300,t2
2021-07-04 00:38:16,request call function 1 redisservice2.set_key_value_into_redis,s8,redisservice2,s6,200,t2
2021-07-04 00:38:16,request call function 1 redisservice2.get_key_value_from_redis,s16,redisservice2,s7,200,t2
2021-07-04 00:38:16,request call function 1 mobservice1.mob_info_to_redis,s14,mobservice1,s8,200,t2
2021-07-04 00:38:16,request call function 1 redisservice1.set_key_value_into_redis,s14,redisservice1,s9,200,t2
2021-07-04 00:38:25,"request call function 1 logservice2.login_model_implement -- HTTPConnectionPool(host='10.1.1.117', port=9388): Read timed out. (read timeout=10)",s12,logservice2,s11,500,t1
2021-07-04 00:38:25,"request call function 1 logservice1.login_query_redis_info -- HTTPConnectionPool(host='10.1.1.115', port=9385): Read timed out. (read timeout=10)",s13,logservice1,s12,500,t1
2021-07-04 00:38:25,request call function 1 webservice1.web_login_service,,webservice1,s13,500,t1
2021-07-04 00:38:26,request call function 1 webservice2.web_login_service,,webservice2,s14,500,t2
2021-07-04 00:38:26,request call function 1 redisservice1.keys_existence_checks,s36,redisservice1,s15,200,t2
2021-07-04 00:38:26,"request call function 1 logservice1.login_query_redis_info -- HTTPConnectionPool(host='10.1.1.115', port=9385): Read timed out. (read timeout=10)",s14,logservice1,s16,500,t2
2021-07-04 00:38:26,"request call function 1 logservice2.login_model_implement -- HTTPConnectionPool(host='10.1.1.117', port=9388): Read timed out. (read timeout=10)",s16,logservice2,s17,500,t2
2021-07-04 00:38:26,request call function 1 redisservice2.keys_existence_checks,s35,redisservice2,s18,200,t1
2021-07-04 00:38:30,request call function 1 dbservice1.db_login_methods,s11,dbservice1,s35,200,t1
2021-07-04 00:38:30,request call function 1 dbservice1.db_login_methods,s17,dbservice1,s36,200,t2
2021-07-04 00:38:48,request call function 1 redisservice2.get_key_value_from_redis,s213,redisservice2,s199,200,t22
2021-07-04 00:38:48,request call function 1 redisservice2.set_key_value_into_redis,s204,redisservice2,s200,200,t22
2021-07-04 00:38:48,request call function 1 redisservice2.get_key_value_from_redis,s204,redisservice2,s201,300,t22
2021-07-04 00:38:48,request call function 1 mobservice2.mob_info_to_redis,s215,mobservice2,s204,200,t22
2021-07-04 00:38:48,request call function 1 redisservice1.set_key_value_into_redis,s215,redisservice1,s207,200,t22
2021-07-04 00:38:48,request call function 1 redisservice1.keys_existence_checks,s220,redisservice1,s209,200,t22
2021-07-04 00:38:49,request call function 1 logservice2.login_query_redis_info,s215,logservice2,s213,500,t22
2021-07-04 00:38:49,request call function 1 logservice1.login_model_implement,s213,logservice1,s214,500,t22
2021-07-04 00:38:49,request call function 1 webservice2.web_login_service,,webservice2,s215,500,t22
2021-07-04 00:38:49,request call function 1 dbservice2.db_login_methods,s214,dbservice2,s220,500,t22
2021-07-04 00:39:27,request call function 1 redisservice2.set_key_value_into_redis,s761,redisservice2,s741,200,t76
2021-07-04 00:39:27,request call function 1 mobservice1.mob_info_to_redis,s761,mobservice1,s746,200,t76
2021-07-04 00:39:27,request call function 1 redisservice1.get_key_value_from_redis,s746,redisservice1,s751,300,t76
2021-07-04 00:39:27,request call function 1 redisservice2.get_key_value_from_redis,s762,redisservice2,s753,200,t76
2021-07-04 00:39:27,request call function 1 redisservice1.set_key_value_into_redis,s746,redisservice1,s754,200,t76
2021-07-04 00:39:28,request call function 1 dbservice1.db_login_methods,s764,dbservice1,s758,500,t76
2021-07-04 00:39:28,request call function 1 redisservice1.keys_existence_checks,s758,redisservice1,s759,200,t76
2021-07-04 00:39:28,request call function 1 webservice1.web_login_service,,webservice1,s761,500,t76
2021-07-04 00:39:28,request call function 1 logservice1.login_query_redis_info,s761,logservice1,s762,500,t76
2021-07-04 00:39:28,request call function 1 logservice2.login_model_implement,s762,logservice2,s764,500,t76
2021-07-04 00:39:30,request call function 1 redisservice1.set_key_value_into_redis,s798,redisservice1,s776,200,t80
2021-07-04 00:39:30,request call function 1 redisservice2.get_key_value_from_redis,s790,redisservice2,s782,300,t80
2021-07-04 00:39:30,request call function 1 mobservice2.mob_info_to_redis,s798,mobservice2,s790,200,t80
2021-07-04 00:39:30,request call function 1 redisservice2.set_key_value_into_redis,s790,redisservice2,s793,200,t80
2021-07-04 00:39:30,request call function 1 redisservice2.get_key_value_from_redis,s801,redisservice2,s794,200,t80
2021-07-04 00:39:30,request call function 1 redisservice2.keys_existence_checks,s799,redisservice2,s795,200,t80
