timestamp,log_level,service_name,trace_id,message
"2021-07-04 01:34:21,382",WARNING,redisservice2,t7,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:34:21,990",ERROR,dbservice2,t7,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 01:34:22,012",ERROR,webservice1,t7,an error occurred in the downstream service
"2021-07-04 01:34:31,754",WARNING,redisservice1,t21,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:34:32,322",ERROR,webservice2,t21,an error occurred in the downstream service
"2021-07-04 01:34:35,480",WARNING,redisservice1,t27,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:34:36,503",ERROR,webservice2,t27,an error occurred in the downstream service
"2021-07-04 01:34:58,395",WARNING,redisservice1,t57,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:34:59,002",ERROR,dbservice2,t57,"(pymysql.err.OperationalError) (1054, ""Unknown column 'system_data_time' in 'field list'"")[SQL: select service_name, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from `metric_table_2021-05`](Background on this error at: http://sqlalche.me/e/14/e3q8)"
"2021-07-04 01:34:59,023",ERROR,webservice2,t57,an error occurred in the downstream service
"2021-07-04 01:35:00,523",WARNING,redisservice2,t60,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:35:01,106",ERROR,webservice1,t60,an error occurred in the downstream service
"2021-07-04 01:35:01,076",ERROR,dbservice2,t60,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 01:35:10,848",ERROR,webservice2,t73,an error occurred in the downstream service
"2021-07-04 01:35:10,197",WARNING,redisservice1,t73,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:35:10,828",ERROR,dbservice1,t73,"(pymysql.err.ProgrammingError) (1146, ""Table 'cloudwise_micross.system_metric_datas' doesn't exist"")[SQL: select service_names, system_data_time, system_cpu_utilization, system_memory_usage,system_disk_usage, disk_io_read_count, disk_io_write_count,system_network, network_io_read_count, network_io_write_count from system_metric_datas](Background on this error at: http://sqlalche.me/e/14/f405)"
"2021-07-04 01:35:14,434",WARNING,redisservice2,t79,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:35:15,003",ERROR,webservice2,t79,an error occurred in the downstream service
"2021-07-04 01:35:19,124",WARNING,redisservice1,t86,"用户未扫描，请等待！, status_code: 300"
"2021-07-04 01:35:19,975",ERROR,webservice2,t86,an error occurred in the downstream service
"2021-07-04 01:35:25,816",ERROR,webservice2,t94,an error occurred in the downstream service
"2021-07-04 01:35:25,270",WARNING,redisservice1,t94,"用户未扫描，请等待！, status_code: 300"
